year,week,date,team,rank
2020,2020-W36,2020-09-06,Memphis,1
2020,2020-W36,2020-09-06,Ohio St,2
2020,2020-W36,2020-09-06,Clemson,3
2020,2020-W36,2020-09-06,LSU,4
2020,2020-W36,2020-09-06,Alabama,5
2020,2020-W36,2020-09-06,Texas,6
2020,2020-W36,2020-09-06,Georgia,8
2020,2020-W36,2020-09-06,Notre Dame,8
2020,2020-W36,2020-09-06,Florida,9
2020,2020-W36,2020-09-06,Iowa,12
2020,2020-W36,2020-09-06,Wisconsin,12
2020,2020-W36,2020-09-06,Oregon,12
2020,2020-W36,2020-09-06,Texas A&M,16
2020,2020-W36,2020-09-06,Penn St,16
2020,2020-W36,2020-09-06,North Carolina,16
2020,2020-W36,2020-09-06,Michigan,16
2020,2020-W36,2020-09-06,Virginia Tech,18
2020,2020-W36,2020-09-06,Kentucky,18
2020,2020-W36,2020-09-06,Oklahoma,19
2020,2020-W36,2020-09-06,Auburn,21
2020,2020-W36,2020-09-06,Oklahoma St,21
2020,2020-W36,2020-09-06,Indiana,24
2020,2020-W36,2020-09-06,USC,24
2020,2020-W36,2020-09-06,West Virginia,24
2020,2020-W36,2020-09-06,Tennessee,26
2020,2020-W36,2020-09-06,UCF,26
2020,2020-W36,2020-09-06,Minnesota,28
2020,2020-W36,2020-09-06,Washington,28
2020,2020-W36,2020-09-06,Cincinnati,30
2020,2020-W36,2020-09-06,Iowa St,30
2020,2020-W36,2020-09-06,Virginia,34
2020,2020-W36,2020-09-06,Louisville,34
2020,2020-W36,2020-09-06,California,34
2020,2020-W36,2020-09-06,Navy,34
2020,2020-W36,2020-09-06,Northwestern,37
2020,2020-W36,2020-09-06,Utah,37
2020,2020-W36,2020-09-06,Kansas St,37
2020,2020-W36,2020-09-06,Mississippi,42
2020,2020-W36,2020-09-06,Nebraska,42
2020,2020-W36,2020-09-06,Purdue,42
2020,2020-W36,2020-09-06,TCU,42
2020,2020-W36,2020-09-06,Texas Tech,42
2020,2020-W36,2020-09-06,Houston,45
2020,2020-W36,2020-09-06,Baylor,45
2020,2020-W36,2020-09-06,Appalachian St,45
2020,2020-W36,2020-09-06,Florida St,51
2020,2020-W36,2020-09-06,Oregon St,51
2020,2020-W36,2020-09-06,Buffalo,51
2020,2020-W36,2020-09-06,Boise St,51
2020,2020-W36,2020-09-06,Louisiana,51
2020,2020-W36,2020-09-06,Air Force,51
2020,2020-W36,2020-09-06,Army,52
2020,2020-W36,2020-09-06,South Carolina,56
2020,2020-W36,2020-09-06,Arizona St,56
2020,2020-W36,2020-09-06,Washington St,56
2020,2020-W36,2020-09-06,Ohio,56
2020,2020-W36,2020-09-06,Tulsa,57
2020,2020-W36,2020-09-06,SMU,58
2020,2020-W36,2020-09-06,Pittsburgh,65
2020,2020-W36,2020-09-06,"Miami, Fl",65
2020,2020-W36,2020-09-06,Boston College,65
2020,2020-W36,2020-09-06,Georgia Tech,65
2020,2020-W36,2020-09-06,Duke,65
2020,2020-W36,2020-09-06,Stanford,65
2020,2020-W36,2020-09-06,WKU,65
2020,2020-W36,2020-09-06,BYU,67
2020,2020-W36,2020-09-06,FAU,67
2020,2020-W36,2020-09-06,UAB,68
2020,2020-W36,2020-09-06,Mississippi St,72
2020,2020-W36,2020-09-06,Illinois,72
2020,2020-W36,2020-09-06,Colorado,72
2020,2020-W36,2020-09-06,Wyoming,72
2020,2020-W36,2020-09-06,Missouri,76
2020,2020-W36,2020-09-06,Tulane,76
2020,2020-W36,2020-09-06,UCLA,76
2020,2020-W36,2020-09-06,Colorado St,76
2020,2020-W36,2020-09-06,Syracuse,81
2020,2020-W36,2020-09-06,Temple,81
2020,2020-W36,2020-09-06,Arizona,81
2020,2020-W36,2020-09-06,Kent St,81
2020,2020-W36,2020-09-06,Georgia Southern,81
2020,2020-W36,2020-09-06,NC State,86
2020,2020-W36,2020-09-06,Wake Forest,86
2020,2020-W36,2020-09-06,Miami (OH),86
2020,2020-W36,2020-09-06,Louisiana Tech,86
2020,2020-W36,2020-09-06,San Diego St,86
2020,2020-W36,2020-09-06,Michigan St,88
2020,2020-W36,2020-09-06,Ball St,88
2020,2020-W36,2020-09-06,South Alabama,89
2020,2020-W36,2020-09-06,Maryland,92
2020,2020-W36,2020-09-06,Kansas,92
2020,2020-W36,2020-09-06,Nevada,92
2020,2020-W36,2020-09-06,Marshall,93
2020,2020-W36,2020-09-06,USF,99
2020,2020-W36,2020-09-06,Charlotte,99
2020,2020-W36,2020-09-06,Coastal Carolina,99
2020,2020-W36,2020-09-06,Troy,99
2020,2020-W36,2020-09-06,Fresno St,99
2020,2020-W36,2020-09-06,Hawaii,99
2020,2020-W36,2020-09-06,Rutgers,102
2020,2020-W36,2020-09-06,East Carolina,102
2020,2020-W36,2020-09-06,Rice,102
2020,2020-W36,2020-09-06,Northern Illinois,103
2020,2020-W36,2020-09-06,Liberty,109
2020,2020-W36,2020-09-06,Western Michigan,109
2020,2020-W36,2020-09-06,Central Michigan,109
