team,final_rank,season_points,preseason_rank
Indiana,1,1434,9
Mississippi,2,1282,20
"Miami, Fl",3,1196,41
Oregon,4,1125,13
Georgia,5,1109,10
Alabama,6,1106,4
Ohio St,7,1043,3
Texas A&M,8,1000,20
BYU,9,972,35
Oklahoma,10,937,24
Utah,11,922,41
Texas Tech,12,907,35
Vanderbilt,13,869,14
Notre Dame,14,802,1
Texas,15,796,12
Virginia,16,712,56
Duke,17,686,51
USC,18,676,27
Iowa,19,669,27
Michigan,20,654,6
Arizona St,21,648,6
TCU,22,640,24
Navy,23,626,51
Tulane,24,610,75
Arizona,25,603,62
Illinois,26,570,16
Houston,27,567,51
Washington,28,553,24
Georgia Tech,29,541,38
LSU,30,532,12
SMU,31,525,32
Missouri,32,520,38
North Texas,33,519,85
Iowa St,34,500,24
Tennessee,35,478,20
Minnesota,36,475,41
Louisville,37,442,27
James Madison,38,438,72
Pittsburgh,40,386,55
Wake Forest,40,386,85
USF,41,380,69
NC State,42,373,55
Cincinnati,43,359,45
Nebraska,44,332,20
Clemson,45,311,9
Penn St,46,269,3
East Carolina,47,267,96
Florida,48,242,7
Boise St,49,229,46
Old Dominion,50,224,72
Kansas St,51,206,38
New Mexico,52,187,102
South Carolina,53,181,32
Northwestern,54,175,62
Auburn,55,174,28
Hawaii,56,157,80
Wisconsin,57,156,35
San Diego St,58,155,107
Western Michigan,59,143,122
Baylor,60,139,16
Memphis,61,138,69
UNLV,62,128,100
California,63,109,85
Mississippi St,64,105,53
Ohio,65,104,64
Kentucky,66,96,62
Kennesaw St,67,77,128
UTSA,69,71,62
Fresno St,69,71,100
Rutgers,70,40,32
Kansas,71,16,51
West Virginia,72,8,69
Army,73,-1,69
Connecticut,74,-5,88
Florida St,75,-12,62
Washington St,76,-37,115
UCLA,77,-41,45
WKU,78,-59,107
Colorado,79,-69,45
Virginia Tech,80,-75,51
UCF,81,-77,91
Louisiana Tech,82,-99,97
Stanford,83,-104,88
Michigan St,84,-112,62
Troy,85,-114,77
Arkansas St,86,-118,107
Jacksonville St,87,-124,102
Arkansas,88,-147,32
Toledo,89,-151,96
Maryland,90,-154,72
Temple,91,-156,128
Utah St,92,-163,113
North Carolina,93,-182,75
Syracuse,94,-196,53
Georgia Southern,95,-214,80
Texas St,96,-228,88
Miami (OH),97,-249,85
FIU,98,-267,121
Coastal Carolina,99,-271,96
Southern Miss,100,-283,128
FAU,102,-294,118
Central Michigan,102,-294,128
Purdue,103,-304,113
Missouri St,104,-321,133
Rice,105,-352,107
Louisiana,106,-362,91
Boston College,107,-372,45
Delaware,108,-375,131
Air Force,109,-383,69
UAB,110,-399,128
Tulsa,111,-421,136
Marshall,112,-433,113
Kent St,113,-435,135
Wyoming,114,-437,77
South Alabama,115,-465,80
Akron,116,-504,115
Oklahoma St,117,-513,96
Nevada,118,-537,113
Buffalo,119,-552,75
San Jose St,120,-559,64
Appalachian St,121,-575,91
New Mexico St,122,-598,121
Eastern Michigan,123,-619,131
Colorado St,124,-620,107
Oregon St,125,-624,85
Liberty,126,-625,96
Ball St,127,-640,131
Charlotte,128,-647,133
Bowling Green,129,-684,116
Northern Illinois,130,-703,113
ULM,131,-730,100
Middle Tenn,132,-797,128
Georgia St,133,-801,113
UTEP,134,-872,117
Sam Houston St,135,-922,121
UMass,136,-1187,134
