team,final_rank,season_points,preseason_rank
Alabama,1,1374,6
Stanford,2,1005,8
Ohio St,3,944,2
Oklahoma,4,844,30
Clemson,5,804,21
TCU,6,746,1
LSU,7,741,16
Northwestern,8,708,44
Mississippi,9,657,13
Michigan St,10,649,11
Michigan,11,646,40
Arkansas,12,645,4
Iowa,13,638,52
Utah,14,607,27
Florida,15,601,48
North Carolina,16,592,58
Notre Dame,17,582,27
Georgia,18,530,8
Tennessee,19,516,13
Oklahoma St,20,512,16
Baylor,21,488,5
Texas A&M,22,484,27
Oregon,23,482,3
Wisconsin,24,471,19
USC,25,456,10
Mississippi St,26,390,35
UCLA,27,374,16
Washington St,28,373,66
Florida St,29,356,32
"Miami, Fl",30,303,69
Houston,31,273,72
Pittsburgh,32,267,48
California,33,265,48
West Virginia,34,251,40
Auburn,35,222,27
Louisville,36,220,40
Arizona St,37,212,21
Washington,38,169,62
Texas Tech,39,145,48
Minnesota,40,117,44
Nebraska,41,113,32
Penn St,42,105,35
Navy,43,97,79
Texas,44,94,30
Arizona,45,91,30
Kansas St,46,80,27
BYU,47,79,52
Illinois,48,33,44
Missouri,50,21,18
Virginia Tech,50,21,27
Duke,51,12,79
Virginia,52,-25,57
Memphis,53,-46,62
Vanderbilt,54,-71,69
Kentucky,55,-95,62
NC State,56,-143,35
South Carolina,57,-156,52
Indiana,58,-165,86
Iowa St,59,-169,79
Georgia Tech,60,-175,10
Colorado,61,-198,40
Temple,62,-216,40
Toledo,63,-224,66
WKU,64,-254,62
Wake Forest,65,-287,83
Purdue,66,-290,72
Maryland,67,-316,75
USF,68,-327,98
San Diego St,69,-347,57
Syracuse,70,-378,98
Oregon St,71,-381,88
Cincinnati,72,-415,57
Tulsa,73,-420,88
Rutgers,74,-428,52
Boise St,75,-454,18
Western Michigan,76,-456,72
Appalachian St,77,-478,75
Connecticut,78,-479,117
Boston College,79,-503,66
Louisiana Tech,80,-508,44
Bowling Green,81,-522,91
Arkansas St,82,-540,98
East Carolina,83,-543,75
Georgia Southern,84,-544,112
Central Michigan,85,-555,114
SMU,86,-603,107
Ohio,87,-619,83
Marshall,88,-635,57
Kansas,89,-638,102
Colorado St,90,-684,86
Northern Illinois,91,-693,66
Akron,92,-717,107
Southern Miss,93,-718,117
Middle Tenn,94,-781,102
Air Force,95,-817,79
New Mexico,96,-819,98
San Jose St,97,-833,107
Utah St,98,-843,57
Tulane,99,-862,102
South Alabama,100,-970,121
Nevada,101,-974,93
Old Dominion,102,-984,112
Buffalo,103,-995,118
Miami (OH),104,-1003,121
Kent St,105,-1013,83
Idaho,106,-1017,124
Rice,107,-1038,86
Ball St,108,-1040,83
Troy,109,-1042,119
UNLV,110,-1051,124
FIU,111,-1062,91
Georgia St,112,-1069,125
UMass,113,-1079,102
Fresno St,114,-1114,98
FAU,115,-1116,114
UCF,116,-1124,69
UTEP,117,-1163,108
UTSA,118,-1170,122
North Texas,119,-1175,112
Louisiana,120,-1189,91
Army,121,-1192,117
Wyoming,122,-1213,107
New Mexico St,123,-1290,126
Hawaii,124,-1331,93
Texas St,125,-1340,107
Eastern Michigan,126,-1360,127
ULM,127,-1450,112
Charlotte,128,-1464,128
