team,final_rank,season_points,preseason_rank
Georgia,1,1396,3
TCU,2,1223,71
Michigan,3,1082,4
Alabama,4,1042,3
Tennessee,5,972,11
Kansas St,6,918,20
Ohio St,7,909,3
Clemson,8,905,7
Penn St,9,902,25
LSU,10,814,50
Oregon,11,756,50
USC,12,713,88
Washington,13,699,81
Notre Dame,14,694,5
Tulane,15,691,63
Texas,16,675,34
Texas Tech,17,666,29
Utah,18,663,6
Mississippi St,19,654,37
Florida St,20,648,41
Oregon St,21,601,50
Arkansas,22,560,17
Troy,23,533,99
South Carolina,24,516,54
Louisville,25,500,34
Mississippi,26,487,25
NC State,27,453,29
UCLA,28,447,29
Pittsburgh,29,435,17
Wake Forest,30,432,34
Oklahoma St,31,420,8
Iowa,32,409,20
Cincinnati,33,397,25
Minnesota,34,394,17
Purdue,36,393,17
Maryland,36,393,41
Kentucky,37,386,29
BYU,38,359,25
Baylor,39,357,9
North Carolina,40,353,71
Washington St,41,276,45
Florida,42,273,88
Duke,43,272,129
Illinois,45,263,45
Kansas,45,263,88
East Carolina,46,255,50
Fresno St,47,254,54
Syracuse,48,253,71
UTSA,49,248,88
Wisconsin,50,230,11
Oklahoma,51,221,17
Auburn,52,208,41
UCF,53,196,45
West Virginia,54,189,54
Michigan St,55,179,25
James Madison,56,174,41
South Alabama,57,172,112
Texas A&M,58,171,17
Boise St,59,165,34
Missouri,60,163,88
Air Force,61,154,45
Iowa St,62,137,34
Houston,63,128,54
Ohio,64,125,100
SMU,65,105,71
Coastal Carolina,66,100,107
Vanderbilt,67,74,97
Arizona,68,56,81
Marshall,69,53,93
Liberty,70,42,81
WKU,71,10,63
Georgia Tech,72,4,103
Nebraska,73,3,37
Indiana,74,-17,91
Toledo,75,-53,91
Southern Miss,76,-75,99
Memphis,77,-83,71
"Miami, Fl",78,-85,20
UAB,79,-105,37
Wyoming,80,-107,122
Rutgers,81,-108,88
Eastern Michigan,82,-126,112
California,83,-135,91
Stanford,84,-160,81
Boston College,85,-168,55
Middle Tenn,86,-171,97
Connecticut,87,-173,125
Appalachian St,88,-185,63
San Jose St,89,-187,118
Louisiana,90,-210,71
Utah St,91,-212,63
Arizona St,92,-221,63
San Diego St,93,-225,63
Virginia,94,-229,81
Buffalo,95,-233,110
Tulsa,96,-245,63
Navy,97,-256,71
Bowling Green,98,-265,114
Georgia Southern,99,-271,110
Army,100,-277,88
North Texas,101,-290,81
Kent St,102,-309,114
New Mexico St,103,-316,129
Virginia Tech,104,-323,93
Colorado,105,-324,81
Georgia St,106,-332,46
ULM,107,-341,103
Western Michigan,108,-355,97
Miami (OH),109,-389,74
Texas St,110,-403,103
UNLV,111,-413,107
Ball St,112,-419,118
Northwestern,113,-437,74
UTEP,114,-444,110
Central Michigan,115,-480,63
Old Dominion,116,-487,74
FAU,117,-496,107
Rice,118,-500,118
Arkansas St,119,-518,122
USF,120,-561,71
Temple,121,-569,125
Colorado St,122,-574,118
Charlotte,123,-677,122
Louisiana Tech,124,-696,127
FIU,125,-731,131
Northern Illinois,126,-750,97
Akron,127,-786,127
Hawaii,128,-799,125
New Mexico,129,-802,122
Nevada,130,-869,107
UMass,131,-986,130
