team,final_rank,season_points,preseason_rank
Georgia,1,1022,6
Baylor,2,986,48
Alabama,3,978,1
Michigan St,4,935,73
Michigan,5,929,36
Oklahoma St,6,928,36
Ohio St,7,887,6
Oklahoma,8,844,2
Mississippi,9,664,15
Arkansas,10,572,56
Iowa,11,558,9
Notre Dame,12,527,17
Penn St,13,497,11
Pittsburgh,14,481,61
Wisconsin,15,384,11
Kentucky,16,379,66
Kansas St,17,371,66
Minnesota,18,321,24
Purdue,19,317,56
Clemson,20,302,4
Texas A&M,22,299,9
Maryland,22,299,88
Utah,24,272,21
Miss St,24,272,36
Iowa St,25,235,4
LSU,26,208,7
West Virginia,27,192,36
BYU,28,185,36
Wake Forest,29,172,36
Texas Tech,30,167,61
Oregon,31,132,21
TCU,32,128,14
Texas,33,121,14
N Carolina St,34,83,48
Auburn,35,59,36
Cincinnati,36,50,17
S Miss,37,27,104
N Mexico St,38,2,129
UCLA,39,-18,38
Rutgers,40,-20,51
Boise St,41,-42,61
Illinois,42,-53,73
Tennessee,43,-54,92
Arizona St,44,-60,24
Virginia,45,-77,48
Syracuse,46,-82,88
Air Force,47,-85,66
Indiana,48,-105,12
"Miami, Fl",49,-106,28
Fresno St,50,-108,88
S Carolina,51,-128,98
Louisville,52,-140,42
Nebraska,53,-150,42
N Carolina,54,-152,18
San Diego St,55,-189,88
Wash St,56,-242,28
Virginia Tech,57,-252,66
Florida St,58,-255,56
Boston College,59,-263,48
Kansas,60,-309,119
Houston,61,-310,88
Northwestern,62,-334,36
Louisiana,63,-372,51
USC,64,-374,24
UAB,65,-377,81
Georgia Tech,66,-387,73
Washington,67,-391,28
Oregon St,68,-401,73
Utah St,69,-411,116
UTSA,70,-436,73
Army,71,-447,92
Florida,72,-476,21
Colorado,73,-484,81
E Carolina,74,-514,51
Missouri,75,-517,73
Stanford,76,-526,38
SMU,77,-532,76
Nevada,78,-563,61
UCF,79,-564,42
Liberty,80,-601,28
California,81,-616,48
Duke,82,-624,108
Coastal Carolina,83,-671,56
Georgia St,84,-683,81
Appalachian St,85,-692,61
Vanderbilt,86,-722,113
Hawaii,88,-732,81
Navy,88,-732,88
Memphis,89,-753,76
Tulsa,90,-762,48
C Michigan,91,-769,104
W Michigan,92,-773,108
San Jose St,93,-787,73
Arizona,94,-799,104
WKU,95,-818,113
Wyoming,96,-849,66
UNLV,97,-865,123
New Mexico,98,-887,104
Tulane,99,-907,56
ULM,100,-912,127
N Illinois,101,-946,113
Ball St,102,-986,42
Kent St,103,-994,88
UTEP,104,-996,123
USF,105,-1004,104
Colorado St,106,-1012,92
Troy,107,-1021,81
Middle Tenn,108,-1043,98
Temple,109,-1062,113
"Miami, OH",110,-1069,92
Toledo,111,-1088,94
Rice,112,-1100,98
FAU,113,-1105,104
E Michigan,114,-1106,98
S Alabama,115,-1166,120
Buffalo,117,-1186,105
North Texas,117,-1186,123
Marshall,118,-1200,108
Texas St,119,-1213,113
Bowling Green,120,-1230,130
Old Dominion,121,-1233,125
Georgia Southern,122,-1239,94
Connecticut,123,-1241,125
La Tech,124,-1281,116
UMass,125,-1322,128
Charlotte,126,-1367,119
Arkansas St,127,-1396,116
Ohio,128,-1544,76
Akron,129,-1555,126
FIU,130,-1836,119
