team,final_rank,season_points,preseason_rank
Clemson,1,1366,3
Alabama,2,1236,1
Ohio St,3,1094,2
Notre Dame,4,1089,11
Oklahoma,5,1074,6
Georgia,6,913,5
Texas,7,826,14
LSU,8,817,30
Washington,9,773,7
Michigan,10,713,9
Washington St,11,700,71
Texas A&M,12,691,33
Florida,13,665,30
UCF,14,637,45
Penn St,15,625,11
Kentucky,16,621,78
Iowa St,17,608,20
Northwestern,18,585,42
Fresno St,19,584,54
Stanford,20,582,14
Syracuse,21,534,81
Mississippi St,23,532,20
Boise St,23,532,25
Iowa,24,531,42
West Virginia,25,503,42
Utah,26,497,25
Army,27,461,68
Auburn,28,457,14
Oregon,29,453,49
Appalachian St,30,401,81
NC State,31,396,30
Utah St,32,386,78
Duke,34,382,20
Cincinnati,34,382,105
Missouri,35,362,42
Wisconsin,37,361,5
Pittsburgh,37,361,22
Michigan St,38,339,8
South Carolina,39,328,22
TCU,40,327,42
Baylor,42,325,42
Arizona St,42,325,61
Virginia,43,324,93
Oklahoma St,44,316,30
Wake Forest,45,280,42
Troy,46,273,78
Boston College,47,262,20
UAB,48,247,93
Purdue,49,235,54
"Miami, Fl",50,225,20
Georgia Tech,51,220,49
California,52,206,42
Minnesota,53,199,55
Temple,54,193,54
Florida St,55,190,33
Georgia Southern,56,172,105
BYU,57,160,88
Texas Tech,59,148,49
Vanderbilt,59,148,81
Virginia Tech,60,118,45
Kansas St,61,110,25
USC,62,92,20
Maryland,63,79,78
Nevada,64,71,78
Marshall,65,54,68
Indiana,67,51,54
Buffalo,67,51,85
Tennessee,68,35,85
Ohio,69,34,58
Arizona,70,27,33
Northern Illinois,71,25,78
Middle Tenn,72,19,71
Mississippi,73,15,58
Miami (OH),74,-3,78
San Diego St,75,-13,63
Houston,76,-21,63
Memphis,77,-22,30
Louisiana Tech,78,-27,68
FIU,79,-49,110
North Texas,80,-53,93
Arkansas St,81,-55,97
Nebraska,82,-65,61
Tulane,83,-66,88
USF,84,-78,88
Colorado,85,-80,68
Hawaii,86,-92,130
UCLA,87,-93,58
Wyoming,88,-126,68
Southern Miss,89,-141,115
Eastern Michigan,90,-162,89
Kansas,91,-177,97
Louisiana,92,-190,123
Toledo,93,-202,71
Illinois,94,-220,85
Liberty,95,-221,126
SMU,96,-224,105
Air Force,97,-227,85
ULM,98,-230,101
North Carolina,99,-271,43
FAU,100,-275,49
Western Michigan,101,-286,97
Arkansas,102,-325,61
UMass,103,-352,101
Louisville,104,-359,42
UNLV,105,-371,101
Oregon St,107,-376,101
Coastal Carolina,107,-376,117
Rutgers,108,-432,97
Navy,109,-471,54
East Carolina,110,-480,111
Akron,111,-483,110
Charlotte,112,-498,121
New Mexico,113,-503,112
Ball St,114,-531,125
South Alabama,115,-566,115
Old Dominion,116,-597,102
Colorado St,117,-599,110
UTSA,118,-604,121
WKU,119,-627,118
San Jose St,120,-635,129
Bowling Green,121,-640,110
Tulsa,123,-649,93
New Mexico St,123,-649,117
Connecticut,125,-712,115
Kent St,125,-712,123
Texas St,126,-721,128
Georgia St,127,-725,121
Rice,128,-763,125
Central Michigan,129,-929,106
UTEP,130,-1005,127
