team,final_rank,season_points,preseason_rank
Georgia,1,1258,21
Alabama,2,1217,1
Clemson,3,1071,5
USC,4,1030,8
Ohio St,5,1029,9
Wisconsin,6,1013,8
Notre Dame,7,921,14
UCF,8,903,85
Oklahoma,9,895,2
Penn St,10,893,8
"Miami, Fl",11,845,12
Michigan St,12,808,75
Stanford,13,770,19
TCU,14,755,29
Auburn,15,723,16
Washington,16,719,5
Northwestern,17,699,24
Oklahoma St,18,674,12
LSU,19,672,14
South Carolina,20,630,71
Washington St,21,613,24
Michigan,22,599,21
NC State,23,597,19
Mississippi St,24,554,58
Boise St,25,505,88
Memphis,26,498,31
Wake Forest,27,489,48
Iowa,28,472,34
USF,29,446,40
Virginia Tech,30,436,19
Florida St,31,390,5
Arizona St,32,387,71
Iowa St,33,386,40
Louisville,34,380,29
Kansas St,35,369,12
Texas A&M,36,348,48
Oregon,37,339,29
Fresno St,38,331,115
Boston College,39,318,63
Purdue,40,309,79
FAU,41,296,120
Utah,42,291,58
Kentucky,43,282,34
San Diego St,44,272,58
UCLA,45,267,53
Arizona,46,263,71
Toledo,47,253,75
Army,48,252,81
Houston,50,241,48
Texas,50,241,53
Florida,51,236,16
Georgia Tech,52,229,29
Duke,53,222,48
West Virginia,55,219,53
Mississippi,55,219,63
Missouri,56,216,58
Troy,57,191,98
Navy,58,146,58
California,59,140,75
Wyoming,60,115,85
Minnesota,61,113,29
Vanderbilt,62,112,48
Texas Tech,63,84,40
Pittsburgh,64,83,40
Colorado,65,79,53
Indiana,66,45,71
Virginia,67,41,79
Maryland,68,20,96
SMU,69,17,81
Appalachian St,70,14,71
Temple,71,13,63
Northern Illinois,73,-1,85
North Texas,73,-1,119
Colorado St,74,-4,48
Nebraska,75,-17,64
Tennessee,77,-31,31
Syracuse,77,-31,66
Air Force,78,-57,98
Rutgers,79,-63,109
Arkansas,81,-66,40
Marshall,81,-66,115
North Carolina,82,-67,48
Ohio,83,-71,85
Central Michigan,84,-79,96
Southern Miss,85,-87,101
FIU,86,-105,105
Tulane,87,-108,90
Louisiana Tech,88,-155,66
Western Michigan,89,-168,53
Akron,90,-205,112
Utah St,91,-222,101
UAB,92,-232,126
Arkansas St,94,-234,75
Middle Tenn,94,-234,119
UTSA,95,-246,79
Oregon St,96,-257,40
Cincinnati,97,-276,79
Georgia St,98,-288,124
Buffalo,99,-311,115
New Mexico St,100,-329,109
WKU,101,-361,24
Tulsa,102,-368,63
Eastern Michigan,103,-369,96
Illinois,104,-375,101
UNLV,105,-381,119
East Carolina,106,-393,112
Nevada,107,-425,88
Old Dominion,108,-426,90
Baylor,109,-430,48
Miami (OH),110,-448,63
UMass,111,-470,119
BYU,112,-474,34
New Mexico,113,-479,96
Connecticut,114,-482,124
Louisiana,115,-494,105
ULM,116,-503,124
South Alabama,117,-538,124
Kansas,118,-579,88
Hawaii,119,-626,105
Idaho,120,-663,96
Kent St,121,-731,109
Texas St,122,-759,130
Bowling Green,123,-777,96
San Jose St,124,-796,105
Rice,125,-811,109
Coastal Carolina,126,-852,128
Georgia Southern,127,-855,126
Ball St,128,-876,112
Charlotte,129,-914,129
UTEP,130,-1002,127
