team,final_rank,season_points,preseason_rank
Oregon,1,1124,2
Ohio St,2,1042,5
Notre Dame,3,951,5
Texas,4,942,8
Clemson,5,868,24
Arizona St,6,809,64
SMU,7,743,46
Penn St,8,737,8
Iowa St,9,581,17
Georgia,10,563,1
Michigan,11,553,6
BYU,12,540,53
Colorado,13,539,59
Illinois,14,533,59
Indiana,15,518,72
"Miami, Fl",16,508,36
Louisville,17,506,35
Kansas St,18,488,14
LSU,19,483,12
Alabama,20,474,5
Baylor,21,468,53
Mississippi,22,411,15
Boston College,23,338,80
USC,24,300,39
Syracuse,25,288,76
Florida,26,257,24
Texas Tech,27,254,46
Tennessee,28,237,29
Nebraska,29,236,43
West Virginia,30,229,30
Virginia Tech,32,223,12
Georgia Tech,32,223,29
TCU,33,221,43
Minnesota,34,208,59
Washington,35,199,39
Kansas,36,195,24
Missouri,37,178,12
Duke,38,171,76
Virginia,39,168,72
Iowa,40,156,29
Wisconsin,41,122,29
South Carolina,43,111,24
Texas A&M,43,111,29
Rutgers,44,92,43
Vanderbilt,45,80,101
Pittsburgh,46,77,80
Washington St,47,76,59
North Carolina,48,71,64
"Miami, Oh",49,55,80
South Alabama,50,47,88
Northern Illinois,51,45,90
East Carolina,52,41,94
Western Michigan,53,34,101
Cincinnati,54,29,59
Central Michigan,55,27,108
Mississippi St,56,24,111
Sam Houston St,57,20,115
GA Southern,58,13,122
Eastern Michigan,59,8,127
Michigan St,60,5,72
Louisiana Tech,61,2,133
Kennesaw St,62,1,134
UCLA,63,-12,53
Arizona,64,-13,14
Arkansas,65,-46,53
Utah,66,-72,35
Oklahoma St,67,-79,17
UCF,68,-134,64
Oklahoma,69,-144,12
Florida St,70,-147,24
Northwestern,71,-155,35
Maryland,73,-159,35
Houston,73,-159,94
Kentucky,74,-160,24
Auburn,75,-171,43
NC State,76,-287,18
Purdue,77,-309,46
Wake Forest,78,-318,53
Boise St,79,-322,39
California,80,-393,72
Memphis,81,-441,35
UNLV,82,-498,76
Stanford,83,-529,76
Navy,84,-572,90
Marshall,85,-617,108
Tulane,86,-679,86
Connecticut,87,-682,118
James Madison,88,-739,64
Old Dominion,89,-759,94
Army,90,-868,97
Louisiana,91,-885,72
Hawaii,92,-891,115
USF,93,-922,47
Texas St,94,-944,53
Oregon St,95,-947,80
Arkansas St,96,-961,84
Utah St,97,-991,108
Colorado St,98,-1001,97
Charlotte,99,-1011,118
Fresno St,100,-1028,84
Appalachian St,101,-1042,59
Ohio,102,-1069,111
San Jose St,103,-1070,97
Troy,104,-1074,86
Buffalo,105,-1123,124
ULM,106,-1152,132
UTSA,107,-1165,72
Liberty,108,-1209,64
Toledo,110,-1213,108
New Mexico,110,-1213,127
Air Force,111,-1225,72
San Diego St,112,-1231,108
WKU,113,-1237,108
Rice,114,-1258,94
Nevada,115,-1278,127
Coastal Carolina,116,-1284,84
North Texas,117,-1297,101
Jacksonville St,118,-1304,88
Bowling Green,119,-1313,84
UAB,120,-1317,101
UTEP,121,-1320,132
Temple,122,-1363,122
UMass,123,-1396,130
Akron,124,-1409,124
Wyoming,125,-1425,72
Georgia St,126,-1443,118
Ball St,127,-1465,111
Southern Miss,128,-1541,122
New Mexico St,129,-1546,115
Tulsa,130,-1547,115
Middle Tenn,131,-1577,122
FAU,132,-1621,102
FIU,133,-1630,130
Kent St,134,-1889,130
