year,week,date,team,rank
2014,2014-W35,2014-08-31,Texas A&M,1
2014,2014-W35,2014-08-31,Florida St,2
2014,2014-W35,2014-08-31,Georgia,3
2014,2014-W35,2014-08-31,LSU,4
2014,2014-W35,2014-08-31,Auburn,5
2014,2014-W35,2014-08-31,Mississippi,6
2014,2014-W35,2014-08-31,Alabama,7
2014,2014-W35,2014-08-31,UCLA,8
2014,2014-W35,2014-08-31,USC,10
2014,2014-W35,2014-08-31,Ohio St,10
2014,2014-W35,2014-08-31,Baylor,11
2014,2014-W35,2014-08-31,Penn St,12
2014,2014-W35,2014-08-31,Oklahoma,13
2014,2014-W35,2014-08-31,UTSA,14
2014,2014-W35,2014-08-31,Texas,15
2014,2014-W35,2014-08-31,Rutgers,16
2014,2014-W35,2014-08-31,Washington,17
2014,2014-W35,2014-08-31,Tennessee,18
2014,2014-W35,2014-08-31,Mississippi St,19
2014,2014-W35,2014-08-31,Notre Dame,20
2014,2014-W35,2014-08-31,Temple,21
2014,2014-W35,2014-08-31,BYU,22
2014,2014-W35,2014-08-31,California,23
2014,2014-W35,2014-08-31,Oregon,24
2014,2014-W35,2014-08-31,Michigan St,27
2014,2014-W35,2014-08-31,Stanford,27
2014,2014-W35,2014-08-31,Nebraska,27
2014,2014-W35,2014-08-31,Colorado St,28
2014,2014-W35,2014-08-31,Arizona,29
2014,2014-W35,2014-08-31,Kansas St,32
2014,2014-W35,2014-08-31,North Carolina,32
2014,2014-W35,2014-08-31,Oregon St,32
2014,2014-W35,2014-08-31,TCU,34
2014,2014-W35,2014-08-31,Missouri,34
2014,2014-W35,2014-08-31,Michigan,35
2014,2014-W35,2014-08-31,Maryland,36
2014,2014-W35,2014-08-31,South Carolina,37
2014,2014-W35,2014-08-31,Iowa,39
2014,2014-W35,2014-08-31,Utah,39
2014,2014-W35,2014-08-31,Florida,40
2014,2014-W35,2014-08-31,Arizona St,41
2014,2014-W35,2014-08-31,Louisville,44
2014,2014-W35,2014-08-31,Marshall,44
2014,2014-W35,2014-08-31,WKU,44
2014,2014-W35,2014-08-31,Clemson,45
2014,2014-W35,2014-08-31,Oklahoma St,46
2014,2014-W35,2014-08-31,Texas Tech,48
2014,2014-W35,2014-08-31,Syracuse,48
2014,2014-W35,2014-08-31,Wisconsin,49
2014,2014-W35,2014-08-31,Georgia Tech,52
2014,2014-W35,2014-08-31,Pittsburgh,52
2014,2014-W35,2014-08-31,ULM,52
2014,2014-W35,2014-08-31,Arkansas,53
2014,2014-W35,2014-08-31,Minnesota,55
2014,2014-W35,2014-08-31,Duke,55
2014,2014-W35,2014-08-31,Cincinnati,56
2014,2014-W35,2014-08-31,Virginia Tech,57
2014,2014-W35,2014-08-31,Boise St,58
2014,2014-W35,2014-08-31,Indiana,60
2014,2014-W35,2014-08-31,Northern Illinois,60
2014,2014-W35,2014-08-31,"Miami, Fl",62
2014,2014-W35,2014-08-31,Ohio,62
2014,2014-W35,2014-08-31,Nevada,63
2014,2014-W35,2014-08-31,Illinois,65
2014,2014-W35,2014-08-31,Purdue,65
2014,2014-W35,2014-08-31,Toledo,67
2014,2014-W35,2014-08-31,San Diego St,67
2014,2014-W35,2014-08-31,NC State,68
2014,2014-W35,2014-08-31,Kentucky,70
2014,2014-W35,2014-08-31,East Carolina,70
2014,2014-W35,2014-08-31,Tulsa,71
2014,2014-W35,2014-08-31,Navy,72
2014,2014-W35,2014-08-31,West Virginia,75
2014,2014-W35,2014-08-31,Memphis,75
2014,2014-W35,2014-08-31,Central Michigan,75
2014,2014-W35,2014-08-31,Kansas,76
2014,2014-W35,2014-08-31,Fresno St,80
2014,2014-W35,2014-08-31,Virginia,80
2014,2014-W35,2014-08-31,Akron,80
2014,2014-W35,2014-08-31,Ball St,80
2014,2014-W35,2014-08-31,UTEP,81
2014,2014-W35,2014-08-31,Boston College,82
2014,2014-W35,2014-08-31,USF,83
2014,2014-W35,2014-08-31,San Jose St,85
2014,2014-W35,2014-08-31,UAB,85
2014,2014-W35,2014-08-31,South Alabama,86
2014,2014-W35,2014-08-31,Louisiana,87
2014,2014-W35,2014-08-31,Middle Tenn,89
2014,2014-W35,2014-08-31,Arkansas St,89
2014,2014-W35,2014-08-31,UCF,90
2014,2014-W35,2014-08-31,Houston,91
2014,2014-W35,2014-08-31,Buffalo,92
2014,2014-W35,2014-08-31,SMU,94
2014,2014-W35,2014-08-31,Air Force,94
2014,2014-W35,2014-08-31,Army,96
2014,2014-W35,2014-08-31,Wyoming,96
2014,2014-W35,2014-08-31,Washington St,97
2014,2014-W35,2014-08-31,Louisiana Tech,98
