team,preseason_rank,start_rating,current_rating
Georgia,1,141,134
Oregon,2,139,137
Ohio St,5,138,145
Alabama,5,138,134
Notre Dame,5,138,144
Michigan,6,135,134
Texas,8,133,136
Penn St,8,133,140
LSU,12,132,131
Virginia Tech,12,132,121
Missouri,12,132,126
Oklahoma,12,132,119
Kansas St,14,131,124
Arizona,14,131,108
Mississippi,15,129,137
Iowa St,17,128,126
Oklahoma St,17,128,104
NC State,18,127,113
Clemson,24,126,130
Florida,24,126,133
South Carolina,24,126,129
Kentucky,24,126,114
Florida St,24,126,106
Kansas,24,126,120
Tennessee,29,125,131
Iowa,29,125,126
Georgia Tech,29,125,121
Texas A&M,29,125,124
Wisconsin,29,125,117
West Virginia,30,124,116
Louisville,35,123,128
Maryland,35,123,111
Northwestern,35,123,109
Memphis,35,123,119
Utah,35,123,118
"Miami, Fl",36,122,125
USC,39,121,126
Washington,39,121,122
Boise St,39,121,121
Nebraska,43,120,124
Rutgers,43,120,123
Auburn,43,120,124
TCU,43,120,126
SMU,46,119,129
Purdue,46,119,99
Texas Tech,46,119,120
USF,47,118,108
Arkansas,53,117,125
UCLA,53,117,119
Wake Forest,53,117,110
BYU,53,117,127
Baylor,53,117,126
Texas St,53,117,112
Minnesota,59,116,127
Illinois,59,116,126
Washington St,59,116,106
Colorado,59,116,125
Cincinnati,59,116,114
Appalachian St,59,116,106
North Carolina,64,115,111
Arizona St,64,115,134
UCF,64,115,112
Liberty,64,115,101
James Madison,64,115,111
Indiana,72,114,136
Virginia,72,114,113
California,72,114,113
Michigan St,72,114,108
UTSA,72,114,113
Louisiana,72,114,111
Air Force,72,114,106
Wyoming,72,114,105
Syracuse,76,113,122
Duke,76,113,117
Stanford,76,113,106
UNLV,76,113,117
Boston College,80,112,122
Pittsburgh,80,112,112
Oregon St,80,112,101
"Miami, Oh",80,112,114
Bowling Green,84,111,106
Fresno St,84,111,107
Arkansas St,84,111,104
Coastal Carolina,84,111,101
Tulane,86,110,117
Troy,86,110,103
Jacksonville St,88,109,112
South Alabama,88,109,109
Navy,90,108,119
Northern Illinois,90,108,106
East Carolina,94,107,110
Rice,94,107,105
Houston,94,107,112
Old Dominion,94,107,109
Army,97,106,118
San Jose St,97,106,108
Colorado St,97,106,103
Vanderbilt,101,105,125
North Texas,101,105,104
UAB,101,105,94
Western Michigan,101,105,97
FAU,102,104,98
WKU,108,103,99
Toledo,108,103,103
Central Michigan,108,103,93
Marshall,108,103,112
Utah St,108,103,104
San Diego St,108,103,96
Mississippi St,111,102,111
Ohio,111,102,118
Ball St,111,102,96
Tulsa,115,101,83
Sam Houston St,115,101,107
New Mexico St,115,101,89
Hawaii,115,101,102
Charlotte,118,99,91
Connecticut,118,99,109
Georgia St,118,99,95
Temple,122,96,90
Middle Tenn,122,96,86
GA Southern,122,96,107
Southern Miss,122,96,81
Buffalo,124,94,107
Akron,124,94,98
Eastern Michigan,127,93,92
New Mexico,127,93,106
Nevada,127,93,100
UMass,130,91,92
FIU,130,91,96
Kent St,130,91,79
UTEP,132,90,91
ULM,132,90,96
Louisiana Tech,133,89,104
Kennesaw St,134,82,89
