team,preseason_rank,start_rating,current_rating
Georgia,1,158,159
Penn St,2,156,152
Michigan,5,154,160
Ohio St,5,154,154
Tennessee,5,154,146
Notre Dame,6,152,158
Alabama,8,151,157
Washington,8,151,151
Texas,9,150,153
Florida St,11,149,148
Utah,11,149,133
Iowa,12,148,133
Clemson,14,147,144
LSU,14,147,150
Texas Tech,15,146,137
Oregon St,17,145,139
TCU,17,145,135
Duke,21,143,138
Texas A&M,21,143,141
Oregon,21,143,159
USC,21,143,0
Illinois,23,142,133
Oklahoma,23,142,147
Wisconsin,26,141,137
Kansas St,26,141,149
Kansas,26,141,144
South Carolina,28,140,137
Fresno St,28,140,126
Nebraska,31,139,131
Minnesota,31,139,128
Iowa St,31,139,141
Maryland,33,138,142
Mississippi St,33,138,126
Auburn,39,137,134
Memphis,39,137,137
Tulane,39,137,130
West Virginia,39,137,139
Baylor,39,137,126
James Madison,39,137,136
North Carolina,44,136,132
Pittsburgh,44,136,126
Arkansas,44,136,128
UCLA,44,136,138
Army,44,136,124
Missouri,48,135,154
Mississippi,48,135,145
Kentucky,48,135,140
Troy,48,135,138
Louisville,53,134,136
Wake Forest,53,134,128
Michigan St,53,134,125
UTSA,53,134,133
Air Force,53,134,135
Florida,59,133,137
SMU,59,133,139
Arizona,59,133,152
Oklahoma St,59,133,141
Washington St,59,133,133
Boise St,59,133,136
UCF,62,132,133
BYU,62,132,129
WKU,62,132,120
NC State,65,131,143
Navy,65,131,122
South Alabama,65,131,132
Virginia Tech,70,130,144
"Miami, Fl",70,130,135
Houston,70,130,125
Louisiana,70,130,126
Marshall,70,130,119
Purdue,73,129,132
Vanderbilt,73,129,119
East Carolina,73,129,119
Indiana,77,128,126
Syracuse,77,128,124
Toledo,77,128,126
Southern Miss,77,128,113
Georgia Tech,84,127,138
California,84,127,128
FAU,84,127,119
Temple,84,127,112
Cincinnati,84,127,123
Ohio,84,127,126
San Diego St,84,127,120
Wyoming,87,126,130
Appalachian St,87,126,130
Georgia St,87,126,121
Arizona St,93,125,126
Tulsa,93,125,116
Miami (OH),93,125,131
Jacksonville St,93,125,128
Connecticut,93,125,114
Eastern Michigan,93,125,111
Boston College,94,124,125
Northwestern,99,123,138
Rutgers,99,123,133
Virginia,99,123,126
UTEP,99,123,113
Georgia Southern,99,123,114
North Texas,103,122,121
Middle Tenn,103,122,118
Buffalo,103,122,112
Colorado St,103,122,117
ULM,104,121,109
New Mexico St,106,120,123
Coastal Carolina,106,120,128
USF,109,119,127
UAB,109,119,118
Central Michigan,109,119,116
Rice,113,118,122
Bowling Green,113,118,125
Ball St,113,118,121
San Jose St,113,118,129
Colorado,116,117,127
Liberty,116,117,132
Akron,116,117,108
Louisiana Tech,118,116,104
Utah St,118,116,113
Stanford,125,115,120
Charlotte,125,115,111
UMass,125,115,107
Northern Illinois,125,115,122
Hawaii,125,115,112
Old Dominion,125,115,119
Nevada,125,115,105
Arkansas St,126,114,121
UNLV,127,113,128
Western Michigan,130,112,114
Kent St,130,112,101
Texas St,130,112,132
FIU,132,107,104
New Mexico,132,107,113
Sam Houston St,133,105,114
