team,preseason_rank,start_rating,current_rating
Georgia,3,155,152
Ohio St,3,155,152
Alabama,3,155,148
Michigan,4,150,154
Notre Dame,5,149,141
Utah,6,148,144
Clemson,7,145,140
Oklahoma St,8,144,130
Baylor,9,142,138
Tennessee,11,141,152
Wisconsin,11,141,134
Pittsburgh,17,140,136
Minnesota,17,140,139
Arkansas,17,140,135
Purdue,17,140,135
Texas A&M,17,140,132
Oklahoma,17,140,137
Iowa,20,139,136
"Miami, Fl",20,139,120
Kansas St,20,139,146
Penn St,25,138,150
Mississippi,25,138,134
Michigan St,25,138,131
Cincinnati,25,138,132
BYU,25,138,128
NC State,29,137,130
Kentucky,29,137,135
Texas Tech,29,137,139
UCLA,29,137,133
Louisville,34,136,135
Wake Forest,34,136,131
Texas,34,136,147
Iowa St,34,136,131
Boise St,34,136,132
Mississippi St,37,135,137
Nebraska,37,135,133
UAB,37,135,125
Florida St,41,134,143
Maryland,41,134,136
Auburn,41,134,132
James Madison,41,134,133
Illinois,45,133,141
UCF,45,133,134
Washington St,45,133,133
Air Force,45,133,127
Georgia St,46,132,124
LSU,50,131,136
Oregon,50,131,140
Oregon St,50,131,138
East Carolina,50,131,127
South Carolina,54,130,136
Houston,54,130,127
West Virginia,54,130,133
Fresno St,54,130,131
Boston College,55,129,117
Tulane,63,128,136
Arizona St,63,128,123
Tulsa,63,128,125
WKU,63,128,126
Central Michigan,63,128,113
San Diego St,63,128,120
Utah St,63,128,117
Appalachian St,63,128,121
North Carolina,71,127,129
Syracuse,71,127,125
TCU,71,127,149
Memphis,71,127,129
Navy,71,127,128
SMU,71,127,127
USF,71,127,116
Louisiana,71,127,127
Northwestern,74,126,118
"Miami, Oh",74,126,116
Old Dominion,74,126,114
Virginia,81,125,118
Washington,81,125,143
Arizona,81,125,127
Stanford,81,125,118
Colorado,81,125,105
North Texas,81,125,121
Liberty,81,125,119
Florida,88,124,134
Missouri,88,124,130
Rutgers,88,124,114
USC,88,124,141
Kansas,88,124,131
UTSA,88,124,130
Army,88,124,130
Indiana,91,123,124
California,91,123,119
Toledo,91,123,117
Virginia Tech,93,122,120
Marshall,93,122,126
Vanderbilt,97,121,123
Western Michigan,97,121,116
Middle Tenn,97,121,117
Northern Illinois,97,121,107
Troy,99,119,130
Southern Miss,99,119,122
Ohio,100,118,129
Georgia Tech,103,117,121
ULM,103,117,116
Texas St,103,117,112
FAU,107,116,120
UNLV,107,116,110
Coastal Carolina,107,116,119
Nevada,107,116,104
UTEP,110,115,118
Buffalo,110,115,115
Georgia Southern,110,115,120
Eastern Michigan,112,114,120
South Alabama,112,114,128
Bowling Green,114,113,117
Kent St,114,113,116
Rice,118,112,110
Ball St,118,112,115
San Jose St,118,112,117
Colorado St,118,112,111
Charlotte,122,110,106
Wyoming,122,110,117
New Mexico,122,110,100
Arkansas St,122,110,108
Temple,125,107,116
Connecticut,125,107,117
Hawaii,125,107,106
Louisiana Tech,127,106,108
Akron,127,106,108
Duke,129,102,129
New Mexico St,129,102,110
UMass,130,100,100
FIU,131,87,96
