team,preseason_rank,start_rating,current_rating
Alabama,1,133,141
Oklahoma,3,131,135
Stanford,3,131,121
Tennessee,4,128,116
Baylor,7,127,111
Washington,7,127,138
Clemson,7,127,132
Ohio St,10,126,133
TCU,10,126,113
Mississippi,10,126,110
LSU,12,125,127
Florida St,12,125,129
Michigan,14,124,129
Arkansas,14,124,115
"Miami, Fl",15,123,124
Houston,16,122,117
Texas,18,121,107
Mississippi St,18,121,114
Nebraska,20,120,111
Michigan St,20,120,110
USF,25,119,118
Washington St,25,119,120
Louisville,25,119,123
North Carolina,25,119,119
Oregon,25,119,110
Kansas St,32,118,125
Auburn,32,118,122
Georgia,32,118,114
USC,32,118,133
Virginia Tech,32,118,125
San Diego St,32,118,114
Notre Dame,32,118,118
Oklahoma St,36,117,125
Wisconsin,36,117,129
Iowa,36,117,123
BYU,36,117,118
West Virginia,40,116,120
Minnesota,40,116,117
Arizona St,40,116,101
Boise St,40,116,110
Colorado,42,115,122
Pittsburgh,42,115,122
Utah,46,114,118
Arizona,46,114,102
WKU,46,114,125
Toledo,46,114,110
Northwestern,52,113,114
Memphis,52,113,116
Georgia Tech,52,113,117
California,52,113,109
UCLA,52,113,109
Western Michigan,52,113,120
Penn St,53,112,130
Iowa St,58,111,110
NC State,58,111,116
Boston College,58,111,106
Virginia,58,111,102
Georgia Southern,58,111,94
Texas A&M,61,110,116
Missouri,61,110,108
Air Force,61,110,107
South Carolina,64,109,99
Cincinnati,64,109,101
Connecticut,64,109,88
Florida,71,108,116
Texas Tech,71,108,113
Indiana,71,108,108
Temple,71,108,124
Navy,71,108,118
Central Michigan,71,108,100
Bowling Green,71,108,97
Vanderbilt,75,107,116
Illinois,75,107,97
Duke,75,107,110
Wake Forest,75,107,105
Kentucky,78,106,113
Syracuse,78,106,102
Middle Tenn,78,106,99
Tulsa,82,105,113
Northern Illinois,82,105,105
Southern Miss,82,105,98
Marshall,82,105,85
East Carolina,85,104,95
Louisiana Tech,85,104,111
Arkansas St,85,104,102
Purdue,89,103,99
Ohio,89,103,105
San Jose St,89,103,95
Appalachian St,89,103,108
Maryland,93,102,97
Nevada,93,102,98
Utah St,93,102,97
Akron,93,102,91
Oregon St,96,100,112
New Mexico,96,100,107
Army,96,100,101
Kent St,97,99,95
FAU,98,98,85
Rutgers,100,97,89
SMU,100,97,101
Colorado St,105,96,114
Miami (OH),105,96,103
Wyoming,105,96,104
UNLV,105,96,92
Troy,105,96,99
UTEP,107,95,88
Georgia St,107,95,88
Kansas,109,94,99
Old Dominion,109,94,101
Fresno St,111,93,86
Buffalo,111,93,88
Rice,112,92,90
Eastern Michigan,114,91,100
Ball St,114,91,95
Tulane,116,90,98
FIU,116,90,93
UCF,119,89,107
UMass,119,89,86
New Mexico St,119,89,88
South Alabama,120,88,90
UTSA,123,87,100
North Texas,123,87,88
Louisiana,123,87,100
Idaho,124,86,100
Hawaii,125,85,91
Charlotte,127,82,87
ULM,127,82,83
Texas St,128,75,71
