team,preseason_rank,start_rating,current_rating
Alabama,1,141,140
Oklahoma,2,139,144
Washington,5,138,134
Clemson,5,138,143
Florida St,5,138,125
Penn St,8,137,139
Wisconsin,8,137,138
USC,8,137,132
Ohio St,9,135,143
Oklahoma St,12,133,132
Kansas St,12,133,126
"Miami, Fl",12,133,127
LSU,14,130,132
Notre Dame,14,130,128
Auburn,16,128,136
Florida,16,128,116
Stanford,19,127,130
NC State,19,127,129
Virginia Tech,19,127,126
Georgia,21,125,142
Michigan,21,125,129
Northwestern,24,124,131
Washington St,24,124,124
WKU,24,124,100
TCU,29,123,132
Minnesota,29,123,112
Louisville,29,123,130
Oregon,29,123,126
Georgia Tech,29,123,118
Tennessee,31,122,105
Memphis,31,122,130
Iowa,34,121,124
Kentucky,34,121,112
BYU,34,121,103
Iowa St,40,120,129
Texas Tech,40,120,121
Arkansas,40,120,111
USF,40,120,119
Pittsburgh,40,120,123
Oregon St,40,120,104
Texas A&M,48,119,120
Baylor,48,119,113
Vanderbilt,48,119,110
Houston,48,119,117
Wake Forest,48,119,125
Duke,48,119,125
North Carolina,48,119,118
Colorado St,48,119,111
Texas,53,118,126
West Virginia,53,118,122
UCLA,53,118,121
Colorado,53,118,115
Western Michigan,53,118,109
Missouri,58,117,124
Mississippi St,58,117,123
Utah,58,117,123
Navy,58,117,115
San Diego St,58,117,118
Mississippi,63,116,119
Boston College,63,116,128
Temple,63,116,115
Tulsa,63,116,104
Miami (OH),63,116,107
Nebraska,64,115,110
Syracuse,66,114,110
Louisiana Tech,66,114,106
South Carolina,71,113,121
Indiana,71,113,118
Arizona St,71,113,122
Arizona,71,113,120
Appalachian St,71,113,111
Michigan St,75,112,127
California,75,112,118
Toledo,75,112,122
Arkansas St,75,112,109
Purdue,79,111,122
Cincinnati,79,111,100
Virginia,79,111,117
UTSA,79,111,103
SMU,81,110,112
Army,81,110,114
UCF,85,109,129
Northern Illinois,85,109,115
Ohio,85,109,112
Wyoming,85,109,107
Kansas,88,108,97
Boise St,88,108,120
Nevada,88,108,106
Tulane,90,107,109
Old Dominion,90,107,98
Maryland,96,106,107
Central Michigan,96,106,115
Eastern Michigan,96,106,109
New Mexico,96,106,97
Bowling Green,96,106,99
Idaho,96,106,99
Air Force,98,105,108
Troy,98,105,114
Illinois,101,104,102
Utah St,101,104,111
Southern Miss,101,104,106
FIU,105,103,109
Hawaii,105,103,91
San Jose St,105,103,85
Louisiana,105,103,92
Rutgers,109,102,104
Kent St,109,102,91
Rice,109,102,91
New Mexico St,109,102,99
East Carolina,112,101,97
Akron,112,101,107
Ball St,112,101,83
Fresno St,115,99,117
Marshall,115,99,107
Buffalo,115,99,108
North Texas,119,98,108
Middle Tenn,119,98,107
UNLV,119,98,100
UMass,119,98,105
FAU,120,97,120
Connecticut,124,96,99
Georgia St,124,96,91
South Alabama,124,96,97
ULM,124,96,100
UAB,126,95,105
Georgia Southern,126,95,95
UTEP,127,93,84
Coastal Carolina,128,92,96
Charlotte,129,90,88
Texas St,130,81,86
