team,preseason_rank,start_rating,current_rating
Notre Dame,1,145,145
Ohio St,3,144,149
Penn St,3,144,136
Alabama,4,142,131
Michigan,6,140,130
Arizona St,6,140,123
Florida,7,139,123
Indiana,9,137,150
Clemson,9,137,131
Georgia,10,136,140
Texas,12,135,136
LSU,12,135,124
Oregon,13,134,144
Vanderbilt,14,133,139
Illinois,16,132,124
Baylor,16,132,116
Texas A&M,20,131,134
Mississippi,20,131,134
Tennessee,20,131,128
Nebraska,20,131,121
Oklahoma,24,130,135
Washington,24,130,136
TCU,24,130,126
Iowa St,24,130,125
USC,27,129,136
Louisville,27,129,123
Iowa,27,129,135
Auburn,28,128,129
SMU,32,127,129
South Carolina,32,127,126
Arkansas,32,127,121
Rutgers,32,127,119
Wisconsin,35,126,123
Texas Tech,35,126,149
BYU,35,126,131
Georgia Tech,38,125,122
Missouri,38,125,130
Kansas St,38,125,124
"Miami, Fl",41,124,138
Minnesota,41,124,123
Utah,41,124,136
Boston College,45,123,113
UCLA,45,123,113
Cincinnati,45,123,118
Colorado,45,123,110
Boise St,46,122,120
Duke,51,121,124
Virginia Tech,51,121,110
Navy,51,121,117
Houston,51,121,119
Kansas,51,121,116
Mississippi St,53,120,119
Syracuse,53,120,101
Pittsburgh,55,119,124
NC State,55,119,121
Virginia,56,118,121
Florida St,62,117,116
Northwestern,62,117,121
Michigan St,62,117,118
Kentucky,62,117,117
Arizona,62,117,131
UTSA,62,117,113
Ohio,64,116,106
San Jose St,64,116,96
USF,69,115,128
Memphis,69,115,114
Army,69,115,109
West Virginia,69,115,111
Air Force,69,115,107
Maryland,72,114,112
James Madison,72,114,128
Old Dominion,72,114,119
North Carolina,75,113,108
Tulane,75,113,121
Buffalo,75,113,97
Troy,77,112,106
Wyoming,77,112,99
Hawaii,80,111,113
Georgia Southern,80,111,103
South Alabama,80,111,100
Wake Forest,85,110,116
California,85,110,115
Oregon St,85,110,96
North Texas,85,110,117
"Miami, Oh",85,110,106
Stanford,88,109,115
Connecticut,88,109,112
Texas St,88,109,110
UCF,91,108,111
Louisiana,91,108,103
Appalachian St,91,108,100
East Carolina,96,107,118
Oklahoma St,96,107,105
Toledo,96,107,116
Liberty,96,107,98
Coastal Carolina,96,107,98
Louisiana Tech,97,106,103
UNLV,100,105,113
Fresno St,100,105,110
ULM,100,105,93
Jacksonville St,102,104,102
New Mexico,102,104,114
Rice,107,103,93
WKU,107,103,105
San Diego St,107,103,113
Arkansas St,107,103,105
Colorado St,107,103,92
Purdue,113,102,107
Northern Illinois,113,102,96
Utah St,113,102,110
Nevada,113,102,99
Marshall,113,102,99
Georgia St,113,102,94
Washington St,115,101,117
Akron,115,101,99
Bowling Green,116,100,92
UTEP,117,99,89
FAU,118,98,99
FIU,121,97,107
New Mexico St,121,97,96
Sam Houston,121,97,83
Western Michigan,122,96,111
Temple,128,95,100
UAB,128,95,98
Kennesaw St,128,95,104
Central Michigan,128,95,102
Middle Tenn,128,95,94
Southern Miss,128,95,100
Eastern Michigan,131,94,98
Delaware,131,94,96
Ball St,131,94,89
Charlotte,133,92,89
Missouri St,133,92,98
UMass,134,91,71
Kent St,135,87,96
Tulsa,136,86,98
