team,preseason_rank,start_rating,current_rating
Ohio St,1,150,145
Clemson,2,148,146
LSU,3,146,130
Alabama,4,142,155
Texas,5,138,134
Georgia,7,137,137
Notre Dame,7,137,135
Florida,8,136,137
Iowa,11,135,139
Wisconsin,11,135,131
Oregon,11,135,125
Texas A&M,15,133,136
Penn St,15,133,126
North Carolina,15,133,132
Michigan,15,133,120
Virginia Tech,17,132,120
Kentucky,17,132,121
Oklahoma,18,131,140
Auburn,20,129,128
Oklahoma St,20,129,128
Indiana,23,128,137
USC,23,128,130
West Virginia,23,128,125
Tennessee,25,127,119
UCF,25,127,127
Minnesota,27,126,123
Washington,27,126,120
Cincinnati,29,125,133
Iowa St,29,125,135
Virginia,34,124,121
Louisville,34,124,127
Memphis,34,124,116
California,34,124,119
Navy,34,124,108
Northwestern,37,123,130
Utah,37,123,124
Kansas St,37,123,115
Mississippi,42,122,124
Nebraska,42,122,120
Purdue,42,122,116
TCU,42,122,128
Texas Tech,42,122,114
Houston,45,121,118
Baylor,45,121,116
Appalachian St,45,121,119
Florida St,51,119,113
Oregon St,51,119,116
Buffalo,51,119,120
Boise St,51,119,118
Louisiana,51,119,123
Air Force,51,119,115
South Carolina,55,118,111
Arizona St,55,118,124
Washington St,55,118,117
Ohio,55,118,112
Tulsa,56,117,124
Pittsburgh,63,116,122
"Miami, Fl",63,116,124
Boston College,63,116,121
Georgia Tech,63,116,113
Duke,63,116,107
Stanford,63,116,124
WKU,63,116,109
SMU,66,115,115
BYU,66,115,129
FAU,66,115,102
Mississippi St,71,114,119
Illinois,71,114,116
Colorado,71,114,113
UAB,71,114,115
Wyoming,71,114,111
Missouri,75,113,116
Tulane,75,113,123
UCLA,75,113,122
Colorado St,75,113,107
Syracuse,80,112,108
Temple,80,112,98
Arizona,80,112,106
Kent St,80,112,111
Georgia Southern,80,112,111
NC State,85,111,119
Wake Forest,85,111,121
Miami (OH),85,111,108
Louisiana Tech,85,111,103
San Diego St,85,111,114
Michigan St,88,109,110
Ball St,88,109,118
Middle Tenn,88,109,105
Maryland,93,108,111
Kansas,93,108,98
Army,93,108,114
Nevada,93,108,110
Arkansas St,93,108,103
USF,100,107,102
Marshall,100,107,111
Charlotte,100,107,101
Coastal Carolina,100,107,126
Troy,100,107,109
Fresno St,100,107,106
Hawaii,100,107,105
Rutgers,103,106,116
East Carolina,103,106,115
Rice,103,106,107
Southern Miss,105,105,102
Northern Illinois,105,105,99
Liberty,111,104,119
Western Michigan,111,104,106
Central Michigan,111,104,104
San Jose St,111,104,120
ULM,111,104,84
Utah St,111,104,95
Arkansas,112,103,118
South Alabama,113,102,97
Toledo,116,101,108
Eastern Michigan,116,101,103
FIU,116,101,94
Georgia St,118,100,109
UNLV,118,100,93
Vanderbilt,120,99,99
Texas St,120,99,99
UTSA,121,98,110
North Texas,122,96,96
New Mexico,123,94,102
UTEP,124,89,93
Bowling Green,125,85,76
Akron,126,81,83
UMass,127,76,79
