team,preseason_rank,start_rating,current_rating
Alabama,1,147,140
Ohio St,2,145,129
Clemson,3,144,140
Georgia,5,143,130
Wisconsin,5,143,108
Oklahoma,6,142,127
Washington,7,141,122
Michigan St,8,140,110
Michigan,9,139,124
Penn St,11,136,120
Notre Dame,11,136,128
Auburn,14,134,117
Texas,14,134,120
Stanford,14,134,116
"Miami, Fl",20,133,121
Miss St,20,133,130
Boston College,20,133,110
Duke,20,133,110
Iowa St,20,133,118
USC,20,133,109
Pittsburgh,22,132,115
S Carolina,22,132,113
Utah,25,131,118
Kansas St,25,131,114
Boise St,25,131,114
N Carolina St,30,130,119
Florida,30,130,120
LSU,30,130,119
Memphis,30,130,112
Oklahoma St,30,130,115
Texas A&M,33,129,118
Florida St,33,129,105
Arizona,33,129,106
Missouri,42,128,126
Iowa,42,128,120
Northwestern,42,128,112
Wake Forest,42,128,112
Louisville,42,128,83
West Virginia,42,128,121
TCU,42,128,110
Baylor,42,128,109
California,42,128,108
N Carolina,43,127,106
Virginia Tech,45,126,107
UCF,45,126,119
Georgia Tech,49,125,115
Oregon,49,125,114
Texas Tech,49,125,107
FAU,49,125,97
Purdue,54,124,113
Indiana,54,124,107
Temple,54,124,113
Navy,54,124,97
Fresno St,54,124,116
Minnesota,55,123,109
Mississippi,58,122,101
UCLA,58,122,106
Ohio,58,122,111
Nebraska,61,121,114
Arkansas,61,121,96
Arizona St,61,121,112
Houston,63,120,106
San Diego St,63,120,97
Colorado,68,119,101
Army,68,119,110
Marshall,68,119,100
La Tech,68,119,92
Wyoming,68,119,103
Wash St,71,118,118
Middle Tenn,71,118,105
Toledo,71,118,105
Kentucky,78,117,115
Maryland,78,117,106
"Miami, OH",78,117,108
N Illinois,78,117,104
Utah St,78,117,114
Troy,78,117,101
Nevada,78,117,100
Syracuse,81,116,118
Vanderbilt,81,116,115
Appalachian St,81,116,110
Tennessee,85,115,102
Illinois,85,115,97
Buffalo,85,115,106
Air Force,85,115,100
Tulane,88,114,98
USF,88,114,95
BYU,88,114,107
E Michigan,89,113,101
Virginia,93,112,110
Tulsa,93,112,96
UAB,93,112,106
North Texas,93,112,96
Rutgers,97,111,97
Kansas,97,111,104
W Michigan,97,111,94
Arkansas St,97,111,105
Oregon St,101,110,89
UMass,101,110,87
ULM,101,110,93
UNLV,101,110,92
Old Dominion,102,109,88
Cincinnati,105,108,112
SMU,105,108,99
Georgia Southern,105,108,100
C Michigan,106,107,79
FIU,110,106,98
Akron,110,106,88
Bowling Green,110,106,87
Colorado St,110,106,89
E Carolina,111,105,87
New Mexico,112,104,84
Connecticut,115,103,73
S Miss,115,103,102
S Alabama,115,103,81
N Mexico St,117,102,80
Coastal Carolina,117,102,82
WKU,118,101,93
Charlotte,121,99,96
UTSA,121,99,80
Georgia St,121,99,82
Kent St,123,97,85
Louisiana,123,97,97
Ball St,125,96,86
Rice,125,96,85
Liberty,126,95,87
UTEP,127,94,77
Texas St,128,93,84
San Jose St,129,90,86
Hawaii,130,89,91
