team,preseason_rank,start_rating,current_rating
TCU,1,155,145
Ohio St,2,153,147
Oregon,3,150,138
Arkansas,4,148,139
Baylor,5,146,142
Alabama,6,145,148
Georgia,8,144,134
Stanford,8,144,147
USC,10,142,135
Georgia Tech,10,142,123
Michigan St,11,141,143
Mississippi,13,140,141
Tennessee,13,140,136
Oklahoma St,16,139,137
LSU,16,139,135
UCLA,16,139,134
Missouri,18,138,124
Boise St,18,138,127
Wisconsin,19,137,133
Clemson,21,136,145
Arizona St,21,136,133
Kansas St,27,135,129
Texas A&M,27,135,127
Auburn,27,135,127
Virginia Tech,27,135,132
Utah,27,135,132
Notre Dame,27,135,139
Oklahoma,30,134,150
Texas,30,134,130
Arizona,30,134,129
Nebraska,32,132,127
Florida St,32,132,141
Mississippi St,35,131,134
Penn St,35,131,129
NC State,35,131,128
Michigan,40,130,134
West Virginia,40,130,136
Temple,40,130,133
Louisville,40,130,129
Colorado,40,130,124
Northwestern,44,129,131
Minnesota,44,129,130
Illinois,44,129,122
Louisiana Tech,44,129,122
Texas Tech,48,128,131
Florida,48,128,129
Pittsburgh,48,128,129
California,48,128,131
Iowa,52,127,137
South Carolina,52,127,123
Rutgers,52,127,111
BYU,52,127,132
Cincinnati,57,126,126
Virginia,57,126,124
San Diego St,57,126,132
Utah St,57,126,119
Marshall,57,126,121
North Carolina,58,125,140
Kentucky,62,124,118
Memphis,62,124,135
Washington,62,124,138
WKU,62,124,134
Washington St,66,123,134
Boston College,66,123,120
Toledo,66,123,128
Northern Illinois,66,123,122
Vanderbilt,69,122,118
"Miami, Fl",69,122,131
UCF,69,122,95
Purdue,72,121,115
Houston,72,121,137
Western Michigan,72,121,130
Maryland,75,120,116
East Carolina,75,120,121
Appalachian St,75,120,119
Iowa St,79,119,125
Navy,79,119,131
Duke,79,119,122
Air Force,79,119,125
Wake Forest,83,118,116
Ohio,83,118,121
Kent St,83,118,107
Ball St,83,118,103
Indiana,86,117,128
Colorado St,86,117,114
Rice,86,117,101
Tulsa,88,116,115
Oregon St,88,116,109
Bowling Green,91,115,136
FIU,91,115,103
Louisiana,91,115,98
Nevada,93,114,116
Hawaii,93,114,95
USF,98,113,133
Syracuse,98,113,118
New Mexico,98,113,110
Fresno St,98,113,104
Arkansas St,98,113,124
Kansas,102,112,98
Tulane,102,112,103
Middle Tenn,102,112,122
UMass,102,112,93
SMU,107,111,105
Akron,107,111,118
San Jose St,107,111,113
Wyoming,107,111,105
Texas St,107,111,93
UTEP,108,110,103
Old Dominion,112,109,102
North Texas,112,109,98
Georgia Southern,112,109,121
ULM,112,109,96
FAU,114,108,110
Central Michigan,114,108,116
Connecticut,117,107,119
Southern Miss,117,107,130
Army,117,107,103
Buffalo,118,106,93
Troy,119,104,110
Miami (OH),121,103,104
South Alabama,121,103,101
UTSA,122,102,97
UNLV,124,101,105
Idaho,124,101,98
Georgia St,125,99,113
New Mexico St,126,97,99
Eastern Michigan,127,96,99
Charlotte,128,85,87
