team,preseason_rank,start_rating,current_rating
Alabama,1,158,152
Oklahoma,2,149,141
Clemson,4,146,140
Iowa St,4,146,138
Georgia,6,145,156
Ohio St,6,145,150
LSU,7,144,128
Texas A&M,9,143,137
Iowa,9,143,134
Wisconsin,11,142,140
Penn St,11,142,135
Indiana,12,141,114
Texas,14,139,129
TCU,14,139,119
Mississippi,15,138,138
Cincinnati,17,137,142
Notre Dame,17,137,145
N Carolina,18,136,123
Florida,21,135,121
Utah,21,135,143
Oregon,21,135,129
Minnesota,24,134,138
Arizona St,24,134,130
USC,24,134,121
"Miami, Fl",28,133,132
Wash St,28,133,134
Washington,28,133,120
Liberty,28,133,124
Michigan,36,132,151
Wake Forest,36,132,133
Auburn,36,132,130
Miss St,36,132,128
Northwestern,36,132,116
Oklahoma St,36,132,145
West Virginia,36,132,127
BYU,36,132,130
UCLA,38,131,138
Stanford,38,131,115
Louisville,42,130,129
Nebraska,42,130,134
UCF,42,130,125
Ball St,42,130,112
N Carolina St,48,129,135
Virginia,48,129,122
Boston College,48,129,121
Baylor,48,129,144
Tulsa,48,129,127
California,48,129,126
Rutgers,51,128,117
E Carolina,51,128,126
Louisiana,51,128,132
Arkansas,56,127,139
Purdue,56,127,137
Florida St,56,127,128
Tulane,56,127,120
Coastal Carolina,56,127,122
Pittsburgh,61,126,137
Texas Tech,61,126,133
Appalachian St,61,126,128
Boise St,61,126,129
Nevada,61,126,123
Kentucky,66,125,135
Virginia Tech,66,125,121
Kansas St,66,125,134
Air Force,66,125,130
Wyoming,66,125,119
Michigan St,73,124,135
Illinois,73,124,129
Missouri,73,124,120
Georgia Tech,73,124,114
Oregon St,73,124,127
UTSA,73,124,124
San Jose St,73,124,108
SMU,76,123,124
Memphis,76,123,121
Ohio,76,123,110
Colorado,81,122,121
UAB,81,122,129
Georgia St,81,122,126
Troy,81,122,110
Hawaii,81,122,118
Syracuse,88,121,121
Maryland,88,121,127
Houston,88,121,132
Navy,88,121,122
Kent St,88,121,111
Fresno St,88,121,128
San Diego St,88,121,128
Tennessee,92,120,134
"Miami, OH",92,120,123
Army,92,120,121
Colorado St,92,120,109
Toledo,94,119,121
Georgia Southern,94,119,110
S Carolina,98,117,123
Middle Tenn,98,117,119
E Michigan,98,117,111
Rice,98,117,104
USF,104,116,113
Arizona,104,116,115
C Michigan,104,116,130
FAU,104,116,109
S Miss,104,116,105
New Mexico,104,116,101
Buffalo,105,115,108
Duke,108,114,100
W Michigan,108,114,122
Marshall,108,114,120
Vanderbilt,113,112,108
Temple,113,112,98
WKU,113,112,135
N Illinois,113,112,116
Texas St,113,112,107
La Tech,116,110,103
Utah St,116,110,130
Arkansas St,116,110,104
Kansas,119,108,111
Charlotte,119,108,102
FIU,119,108,88
S Alabama,120,106,108
North Texas,123,105,116
UTEP,123,105,114
UNLV,123,105,110
Old Dominion,125,101,117
Connecticut,125,101,94
Akron,126,99,97
ULM,127,96,108
UMass,128,95,89
N Mexico St,129,94,99
Bowling Green,130,84,104
