date,home_team,away_team,home_score,away_score
2015-09-03,South Carolina,North Carolina,17,13
2015-09-03,UCF,Florida International,14,15
2015-09-03,Central Michigan,Oklahoma State,13,24
2015-09-03,Wake Forest,Elon,41,3
2015-09-03,Ball State,VMI,48,36
2015-09-03,Georgia Tech,Alcorn State,69,6
2015-09-03,UConn,Villanova,20,15
2015-09-04,Vanderbilt,Western Kentucky,12,14
2015-09-04,Utah,Michigan,24,17
2015-09-04,Minnesota,TCU,17,23
2015-09-04,Idaho,Ohio,28,45
2015-09-04,Utah State,Southern Utah,12,9
2015-09-04,Tulane,Duke,7,37
2015-09-04,San José State,New Hampshire,43,13
2015-09-04,Nevada,UC Davis,31,17
2015-09-04,Fresno State,Abilene Christian,34,13
2015-09-04,Arizona,UTSA,42,32
2015-09-04,Hawai'i,Colorado,28,20
2015-09-04,Georgia State,Charlotte,20,23
2015-09-04,Army,Fordham,35,37
2015-09-04,Syracuse,Rhode Island,47,0
2015-09-04,SMU,Baylor,21,56
2015-09-04,Western Michigan,Michigan State,24,37
2015-09-05,Oregon State,Weber State,26,7
2015-09-05,Boise State,Washington,16,13
2015-09-05,Northwestern,Stanford,16,6
2015-09-05,Kansas,South Dakota State,38,41
2015-09-05,Georgia,UL Monroe,51,14
2015-09-05,Navy,Colgate,48,10
2015-09-05,Ole Miss,UT Martin,76,3
2015-09-05,Rutgers,Norfolk State,63,13
2015-09-05,Iowa,Illinois State,31,14
2015-09-05,Maryland,Richmond,50,21
2015-09-05,Clemson,Wofford,49,10
2015-09-05,Boston College,Maine,24,3
2015-09-05,Pittsburgh,Youngstown State,45,37
2015-09-05,Washington State,Portland State,17,24
2015-09-05,Illinois,Kent State,52,3
2015-09-05,Texas Tech,Sam Houston,59,45
2015-09-05,Miami (OH),Presbyterian,26,7
2015-09-05,Buffalo,UAlbany,51,14
2015-09-05,Air Force,Morgan State,63,7
2015-09-05,Tulsa,Florida Atlantic,47,44
2015-09-05,UCLA,Virginia,34,16
2015-09-05,Eastern Michigan,Old Dominion,34,38
2015-09-05,Auburn,Louisville,31,24
2015-09-05,Arkansas,UTEP,48,13
2015-09-05,App State,Howard,49,0
2015-09-05,Temple,Penn State,27,10
2015-09-05,Nebraska,BYU,28,33
2015-09-05,Tennessee,Bowling Green,59,30
2015-09-05,Missouri,Southeast Missouri State,34,3
2015-09-05,Indiana,Southern Illinois,48,47
2015-09-05,Colorado State,Savannah St,65,13
2015-09-05,Wyoming,North Dakota,13,24
2015-09-05,Rice,Wagner,56,16
2015-09-05,California,Grambling,73,14
2015-09-05,South Alabama,Gardner-Webb,33,23
2015-09-05,East Carolina,Towson,28,20
2015-09-05,Miami,Bethune-Cookman,45,0
2015-09-05,NC State,Troy,49,21
2015-09-05,Oklahoma,Akron,41,3
2015-09-05,Middle Tennessee,Jackson State,70,14
2015-09-05,Kentucky,Louisiana,40,33
