date,home_team,away_team,home_score,away_score
2016-08-27,California,Hawai'i,51,31
2016-09-01,Central Michigan,Presbyterian,49,3
2016-09-01,UConn,Maine,24,21
2016-09-01,Cincinnati,UT Martin,28,7
2016-09-01,Louisville,Charlotte,70,14
2016-09-01,Wake Forest,Tulane,7,3
2016-09-01,Florida International,Indiana,13,34
2016-09-01,Tennessee,App State,20,13
2016-09-01,NC State,William & Mary,48,14
2016-09-02,Utah State,Weber State,45,6
2016-09-02,Utah,Southern Utah,24,0
2016-09-02,Vanderbilt,South Carolina,10,13
2016-09-02,Western Kentucky,Rice,46,14
2016-09-02,Minnesota,Oregon State,30,23
2016-09-02,New Mexico,South Dakota,48,21
2016-09-02,Idaho,Montana State,20,17
2016-09-02,UNLV,Jackson State,63,13
2016-09-02,Eastern Michigan,Mississippi Valley State,61,14
2016-09-02,Buffalo,UAlbany,16,22
2016-09-02,Syracuse,Colgate,33,7
2016-09-02,Michigan State,Furman,28,13
2016-09-02,Georgia State,Ball State,21,31
2016-09-02,Temple,Army,13,28
2016-09-02,Baylor,Northwestern State,55,7
2016-09-03,Colorado,Colorado State,44,7
2016-09-03,Arkansas State,Toledo,10,31
2016-09-03,Stanford,Kansas State,26,13
2016-09-03,Nevada,Cal Poly,30,27
2016-09-03,Boston College,Georgia Tech,14,17
2016-09-03,Navy,Fordham,52,16
2016-09-03,Purdue,Eastern Kentucky,45,24
2016-09-03,Maryland,Howard,52,13
2016-09-03,Mississippi State,South Alabama,20,21
2016-09-03,Northwestern,Western Michigan,21,22
2016-09-03,West Virginia,Missouri,26,11
2016-09-03,Louisiana,Boise State,10,45
2016-09-03,Houston,Oklahoma,33,23
2016-09-03,Michigan,Hawai'i,63,3
2016-09-03,Ohio State,Bowling Green,77,10
2016-09-03,Virginia Tech,Liberty,36,13
2016-09-03,Pittsburgh,Villanova,28,7
2016-09-03,Air Force,Abilene Christian,37,21
2016-09-03,Washington,Rutgers,48,13
2016-09-03,Wisconsin,LSU,16,14
2016-09-03,Texas A&M,UCLA,31,24
2016-09-03,Oklahoma State,SE Louisiana,61,7
2016-09-03,Iowa,Miami (OH),45,21
2016-09-03,Ohio,Texas State,54,56
2016-09-03,Penn State,Kent State,33,13
2016-09-03,Illinois,Murray State,52,3
2016-09-03,Virginia,Richmond,20,37
2016-09-03,Arkansas,Louisiana Tech,21,20
2016-09-03,Oregon,UC Davis,53,28
2016-09-03,North Carolina,Georgia,24,33
2016-09-03,Troy,Austin Peay,57,17
2016-09-03,Duke,North Carolina Central,49,6
2016-09-03,Florida Atlantic,Southern Illinois,38,30
2016-09-03,East Carolina,Western Carolina,52,7
2016-09-03,Miami,Florida A&M,70,3
2016-09-03,Georgia Southern,Savannah St,54,0
2016-09-03,Akron,VMI,47,24
2016-09-03,Kansas,Rhode Island,55,6
2016-09-03,UL Monroe,Southern,38,21
2016-09-03,UCF,South Carolina State,38,0
2016-09-03,South Florida,Towson,56,20
2016-09-03,Middle Tennessee,Alabama A&M,55,0
2016-09-03,Tulsa,San José State,45,10
2016-09-03,North Texas,SMU,21,34
2016-09-03,UTSA,Alabama State,26,13
2016-09-03,Memphis,Southeast Missouri State,35,17
2016-09-03,Kentucky,Southern Miss,35,44
2016-09-03,Florida,Massachusetts,24,7
2016-09-04,Texas Tech,Stephen F. Austin,69,17
2016-09-04,Nebraska,Fresno State,43,10
2016-09-04,Washington State,Eastern Washington,42,45
2016-09-04,TCU,South Dakota State,59,41
2016-09-04,UTEP,New Mexico State,38,22
2016-09-04,Iowa State,Northern Iowa,20,25
2016-09-04,Alabama,USC,52,6
2016-09-04,San Diego State,New Hampshire,31,0
2016-09-04,Auburn,Clemson,13,19
2016-09-04,Arizona,BYU,16,18
2016-09-04,Wyoming,Northern Illinois,40,34
2016-09-04,Arizona State,Northern Arizona,44,13
2016-09-04,Old Dominion,Hampton,54,21
2016-09-04,Texas,Notre Dame,50,47
2016-09-06,Florida State,Ole Miss,45,34
2016-09-09,Florida International,Maryland,14,41
2016-09-10,Syracuse,Louisville,28,62
2016-09-10,Texas A&M,Prairie View A&M,67,0
2016-09-10,Houston,Lamar,42,0
2016-09-10,Georgia,Nicholls,26,24
2016-09-10,Rutgers,Howard,52,14
2016-09-10,Minnesota,Indiana State,58,28
2016-09-10,Pittsburgh,Penn State,42,39
2016-09-10,Michigan,UCF,51,14
2016-09-10,Oklahoma State,Central Michigan,27,30
2016-09-10,East Carolina,NC State,33,30
2016-09-10,Purdue,Cincinnati,20,38
2016-09-10,Army,Rice,31,14
2016-09-10,Massachusetts,Boston College,7,26
2016-09-10,Nebraska,Wyoming,52,17
2016-09-10,Clemson,Troy,30,24
2016-09-10,Florida State,Charleston Southern,52,8
2016-09-10,Temple,Stony Brook,38,0
2016-09-10,West Virginia,Youngstown State,38,21
2016-09-10,USC,Utah State,45,7
2016-09-10,Air Force,Georgia State,48,14
2016-09-10,Kansas,Ohio,21,37
2016-09-10,Georgia Tech,Mercer,35,10
2016-09-10,Navy,UConn,28,24
2016-09-10,Baylor,SMU,40,13
2016-09-10,Notre Dame,Nevada,39,10
2016-09-10,Bowling Green,North Dakota,27,26
2016-09-10,Northwestern,Illinois State,7,9
2016-09-10,App State,Old Dominion,31,7
2016-09-10,Duke,Wake Forest,14,24
2016-09-10,Ohio State,Tulsa,48,3
2016-09-10,Wisconsin,Akron,54,10
2016-09-10,Florida,Kentucky,45,7
2016-09-10,Alabama,Western Kentucky,38,10
2016-09-10,Indiana,Ball State,30,20
2016-09-10,Vanderbilt,Middle Tennessee,47,24
2016-09-10,Colorado State,UTSA,23,14
2016-09-10,Ole Miss,Wofford,38,13
2016-09-10,Miami (OH),Eastern Illinois,17,21
2016-09-10,San José State,Portland State,66,35
2016-09-10,Washington,Idaho,59,14
2016-09-10,Colorado,Idaho State,56,7
2016-09-10,Marshall,Morgan State,62,0
2016-09-10,Miami,Florida Atlantic,38,10
2016-09-10,Kent State,North Carolina A&T,36,39
2016-09-10,Charlotte,Elon,47,14
2016-09-10,South Florida,Northern Illinois,48,17
2016-09-10,Texas,UTEP,41,7
2016-09-10,Oklahoma,UL Monroe,59,17
2016-09-10,Mississippi State,South Carolina,27,14
2016-09-10,South Alabama,Georgia Southern,9,24
2016-09-10,Louisiana,McNeese,30,22
2016-09-10,Toledo,Maine,45,3
2016-09-10,Western Michigan,North Carolina Central,70,21
2016-09-10,Southern Miss,Savannah St,56,0
2016-09-10,Louisiana Tech,South Carolina State,53,24
2016-09-10,North Texas,Bethune-Cookman,41,20
2016-09-10,TCU,Arkansas,38,41
2016-09-10,Iowa,Iowa State,42,3
2016-09-10,Illinois,North Carolina,23,48
2016-09-10,LSU,Jacksonville State,34,13
2016-09-10,Missouri,Eastern Michigan,61,21
2016-09-10,Utah,BYU,20,19
2016-09-10,Auburn,Arkansas State,51,14
2016-09-11,Tennessee,Virginia Tech,45,24
2016-09-11,New Mexico State,New Mexico,32,31
2016-09-11,UCLA,UNLV,42,21
2016-09-11,Tulane,Southern,66,21
2016-09-11,Arizona State,Texas Tech,68,55
2016-09-11,Fresno State,Sacramento State,31,3
2016-09-11,Boise State,Washington State,31,28
2016-09-11,Oregon,Virginia,44,26
2016-09-11,San Diego State,California,45,40
2016-09-11,Arizona,Grambling,31,21
2016-09-11,Hawai'i,UT Martin,41,36
2016-09-15,Cincinnati,Houston,16,40
2016-09-17,Rice,Baylor,10,38
2016-09-17,Utah State,Arkansas State,34,20
2016-09-17,UTSA,Arizona State,28,32
2016-09-17,Penn State,Temple,34,27
2016-09-17,Rutgers,New Mexico,37,28
2016-09-17,Bowling Green,Middle Tennessee,21,41
2016-09-17,Clemson,South Carolina State,59,0
2016-09-17,Iowa,North Dakota State,21,23
2016-09-17,Marshall,Akron,38,65
2016-09-17,App State,Miami,10,45
2016-09-17,Memphis,Kansas,43,7
2016-09-17,TCU,Iowa State,41,20
2016-09-17,Tennessee,Ohio,28,19
2016-09-17,Louisville,Florida State,63,20
2016-09-17,Wisconsin,Georgia State,23,17
2016-09-17,Georgia Tech,Vanderbilt,38,7
2016-09-17,UConn,Virginia,13,10
2016-09-17,Washington State,Idaho,56,6
2016-09-17,Tulsa,North Carolina A&T,58,21
2016-09-17,Kansas State,Florida Atlantic,63,7
2016-09-17,Central Michigan,UNLV,44,21
2016-09-17,Ball State,Eastern Kentucky,41,14
2016-09-17,Toledo,Fresno State,52,17
2016-09-17,Virginia Tech,Boston College,49,0
2016-09-17,Nebraska,Oregon,35,32
2016-09-17,Kent State,Monmouth,27,7
2016-09-17,North Carolina,James Madison,56,28
2016-09-17,Northern Illinois,San Diego State,28,42
2016-09-17,Michigan,Colorado,45,28
2016-09-17,Ole Miss,Alabama,43,48
2016-09-17,Massachusetts,Florida International,21,13
2016-09-17,Syracuse,South Florida,20,45
2016-09-17,Oklahoma State,Pittsburgh,45,38
2016-09-17,Miami (OH),Western Kentucky,24,31
2016-09-17,Colorado State,Northern Colorado,47,21
2016-09-17,Wyoming,UC Davis,45,22
2016-09-17,Illinois,Western Michigan,10,34
2016-09-17,Kentucky,New Mexico State,62,42
2016-09-17,South Carolina,East Carolina,20,15
2016-09-17,Oregon State,Idaho State,37,7
2016-09-17,Charlotte,Eastern Michigan,19,37
2016-09-17,NC State,Old Dominion,49,22
2016-09-17,Georgia Southern,UL Monroe,23,21
2016-09-17,Wake Forest,Delaware,38,21
2016-09-17,Tulane,Navy,14,21
2016-09-17,LSU,Mississippi State,23,20
2016-09-17,Auburn,Texas A&M,16,29
2016-09-17,Louisiana,South Alabama,28,23
2016-09-17,UCF,Maryland,24,30
2016-09-17,Southern Miss,Troy,31,37
