date,home_team,away_team,home_score,away_score
2019-08-24,Florida,Miami,24,20
2019-08-25,Hawai'i,Arizona,45,38
2019-08-29,Cincinnati,UCLA,24,14
2019-08-29,Buffalo,Robert Morris,38,10
2019-08-29,Bowling Green,Morgan State,46,3
2019-08-29,UConn,Wagner,24,21
2019-08-29,Western Kentucky,Central Arkansas,28,35
2019-08-29,Charlotte,Gardner-Webb,49,28
2019-08-29,UCF,Florida A&M,62,0
2019-08-30,UAB,Alabama State,24,19
2019-08-30,Clemson,Georgia Tech,52,14
2019-08-30,Tulane,Florida International,42,14
2019-08-30,Texas A&M,Texas State,41,7
2019-08-30,Central Michigan,UAlbany,38,21
2019-08-30,Minnesota,South Dakota State,28,21
2019-08-30,San José State,Northern Colorado,35,18
2019-08-30,Arizona State,Kent State,30,7
2019-08-30,BYU,Utah,12,30
2019-08-30,Army,Rice,14,7
2019-08-30,Michigan State,Tulsa,28,7
2019-08-30,Rutgers,Massachusetts,48,21
2019-08-30,South Florida,Wisconsin,0,49
2019-08-31,Wake Forest,Utah State,38,35
2019-08-31,Nevada,Purdue,34,31
2019-08-31,Colorado,Colorado State,52,31
2019-08-31,Oregon State,Oklahoma State,36,52
2019-08-31,Louisiana,Mississippi State,28,38
2019-08-31,Iowa State,Northern Iowa,29,26
2019-08-31,Ball State,Indiana,24,34
2019-08-31,Illinois,Akron,42,3
2019-08-31,NC State,East Carolina,34,6
2019-08-31,Florida State,Boise State,31,36
2019-08-31,Nebraska,South Alabama,35,21
2019-08-31,Ohio State,Florida Atlantic,45,21
2019-08-31,Maryland,Howard,79,0
2019-08-31,Kansas,Indiana State,24,17
2019-08-31,Memphis,Ole Miss,15,10
2019-08-31,Kentucky,Toledo,38,24
2019-08-31,West Virginia,James Madison,20,13
2019-08-31,Ohio,Rhode Island,41,20
2019-08-31,Temple,Bucknell,56,12
2019-08-31,Washington,Eastern Washington,47,14
2019-08-31,Penn State,Idaho,79,7
2019-08-31,Coastal Carolina,Eastern Michigan,23,30
2019-08-31,Air Force,Colgate,48,7
2019-08-31,App State,East Tennessee State,42,7
2019-08-31,Tennessee,Georgia State,30,38
2019-08-31,North Carolina,South Carolina,24,20
2019-08-31,Navy,Holy Cross,45,7
2019-08-31,Alabama,Duke,42,3
2019-08-31,Boston College,Virginia Tech,35,28
2019-08-31,Stanford,Northwestern,17,7
2019-08-31,Arkansas,Portland State,20,13
2019-08-31,Texas Tech,Montana State,45,10
2019-08-31,New Mexico,Sam Houston,39,31
2019-08-31,UTSA,Incarnate Word,35,7
2019-08-31,Liberty,Syracuse,0,24
2019-08-31,Troy,Campbell,43,14
2019-08-31,Marshall,VMI,56,17
2019-08-31,California,UC Davis,27,13
