date,home_team,away_team,home_score,away_score
2021-08-28,Illinois,Nebraska,30,22
2021-08-28,Fresno State,UConn,45,0
2021-08-28,UCLA,Hawai'i,44,10
2021-08-29,New Mexico State,UTEP,3,30
2021-08-29,San José State,Southern Utah,45,14
2021-09-01,Jacksonville State,UAB,0,31
2021-09-02,UCF,Boise State,36,31
2021-09-02,Ball State,Western Illinois,31,21
2021-09-02,Buffalo,Wagner,69,7
2021-09-02,Coastal Carolina,The Citadel,52,14
2021-09-02,App State,East Carolina,33,19
2021-09-02,Utah,Weber State,40,17
2021-09-02,Tulsa,UC Davis,17,19
2021-09-02,NC State,South Florida,45,0
2021-09-03,Western Kentucky,UT Martin,59,21
2021-09-03,Tennessee,Bowling Green,38,6
2021-09-03,New Mexico,Houston Christian,27,17
2021-09-03,Minnesota,Ohio State,31,45
2021-09-03,Florida International,Long Island University,48,10
2021-09-03,UNLV,Eastern Washington,33,35
2021-09-03,Arizona State,Southern Utah,41,14
2021-09-03,Virginia Tech,North Carolina,17,10
2021-09-03,Wake Forest,Old Dominion,42,10
2021-09-03,Eastern Michigan,St. Francis (PA),35,15
2021-09-03,Charlotte,Duke,31,28
2021-09-04,Kansas,South Dakota,17,14
2021-09-04,Northwestern,Michigan State,21,38
2021-09-04,Colorado State,South Dakota State,23,42
2021-09-04,Colorado,Northern Colorado,35,7
2021-09-04,Georgia State,Army,10,43
2021-09-04,Kansas State,Stanford,24,7
2021-09-04,Oklahoma,Tulane,40,35
2021-09-04,Nebraska,Fordham,52,7
2021-09-04,UConn,Holy Cross,28,38
2021-09-04,Michigan,Western Michigan,47,14
2021-09-04,Rutgers,Temple,61,14
2021-09-04,Boston College,Colgate,51,0
2021-09-04,Kentucky,UL Monroe,45,10
2021-09-04,Wisconsin,Penn State,10,16
2021-09-04,Oregon,Fresno State,31,24
2021-09-04,Air Force,Lafayette,35,14
2021-09-04,Arkansas,Rice,38,17
2021-09-04,Navy,Marshall,7,49
2021-09-04,Cincinnati,Miami (OH),49,14
2021-09-04,Miami,Alabama,13,44
2021-09-04,Maryland,West Virginia,30,24
2021-09-04,Iowa,Indiana,34,6
2021-09-04,Wyoming,Montana State,19,16
2021-09-04,Missouri,Central Michigan,34,24
2021-09-04,Mississippi State,Louisiana Tech,35,34
