date,home_team,away_team,home_score,away_score
2020-09-04,UAB,Central Arkansas,45,35
2020-09-04,Southern Miss,South Alabama,21,32
2020-09-05,Marshall,Eastern Kentucky,59,0
2020-09-05,Army,Middle Tennessee,42,0
2020-09-05,Texas State,SMU,24,31
2020-09-05,North Texas,Houston Christian,57,31
2020-09-06,Memphis,Arkansas State,37,24
2020-09-06,UTEP,Stephen F. Austin,24,14
2020-09-08,Navy,BYU,3,55
2020-09-11,Miami,UAB,31,14
2020-09-12,North Carolina,Syracuse,31,6
2020-09-12,Iowa State,Louisiana,14,31
2020-09-12,West Virginia,Eastern Kentucky,56,10
2020-09-12,Kansas State,Arkansas State,31,35
2020-09-12,App State,Charlotte,35,20
2020-09-12,Army,UL Monroe,37,7
2020-09-12,Notre Dame,Duke,27,13
2020-09-12,Texas State,UTSA,48,51
2020-09-12,Pittsburgh,Austin Peay,55,0
2020-09-12,Florida State,Georgia Tech,13,16
2020-09-12,Georgia Southern,Campbell,27,26
2020-09-12,South Florida,The Citadel,27,6
2020-09-12,Oklahoma,Missouri State,48,0
2020-09-12,Wake Forest,Clemson,13,37
2020-09-12,South Alabama,Tulane,24,27
2020-09-13,Texas,UTEP,59,3
2020-09-13,Louisville,Western Kentucky,35,21
2020-09-13,Texas Tech,Houston Christian,35,33
2020-09-13,Kansas,Coastal Carolina,23,38
2020-09-18,Coastal Carolina,Campbell,43,21
2020-09-19,Cincinnati,Austin Peay,55,20
2020-09-19,Duke,Boston College,6,26
2020-09-19,Georgia State,Louisiana,31,34
2020-09-19,Western Kentucky,Liberty,24,30
2020-09-19,Oklahoma State,Tulsa,16,7
2020-09-19,Tulane,Navy,24,27
2020-09-19,Pittsburgh,Syracuse,21,10
2020-09-19,Notre Dame,South Florida,52,0
2020-09-19,Georgia Tech,UCF,21,49
2020-09-19,Marshall,App State,17,7
2020-09-19,Middle Tennessee,Troy,14,47
2020-09-19,UTSA,Stephen F. Austin,24,10
2020-09-19,Clemson,The Citadel,49,0
2020-09-19,North Texas,SMU,35,65
2020-09-19,UL Monroe,Texas State,17,38
2020-09-19,Louisville,Miami,34,47
2020-09-19,Southern Miss,Louisiana Tech,30,31
2020-09-20,NC State,Wake Forest,45,42
2020-09-20,UTEP,Abilene Christian,17,13
2020-09-24,South Alabama,UAB,10,42
2020-09-26,UTSA,Middle Tennessee,37,35
2020-09-26,East Carolina,UCF,28,51
2020-09-26,Auburn,Kentucky,29,13
2020-09-26,Oklahoma,Kansas State,35,38
2020-09-26,Syracuse,Georgia Tech,37,20
2020-09-26,Louisiana,Georgia Southern,20,18
2020-09-26,Pittsburgh,Louisville,23,20
2020-09-26,App State,Campbell,52,21
2020-09-26,Ole Miss,Florida,35,51
2020-09-26,Liberty,Florida International,36,34
2020-09-26,TCU,Iowa State,34,37
2020-09-26,LSU,Mississippi State,34,44
2020-09-26,Oklahoma State,West Virginia,27,13
2020-09-26,UL Monroe,UTEP,6,31
2020-09-26,Texas Tech,Texas,56,63
2020-09-26,Cincinnati,Army,24,10
2020-09-26,Virginia,Duke,38,20
2020-09-26,Arkansas,Georgia,10,37
2020-09-26,Boston College,Texas State,24,21
2020-09-26,Louisiana Tech,Houston Christian,66,38
2020-09-26,SMU,Stephen F. Austin,50,7
2020-09-26,Southern Miss,Tulane,24,66
2020-09-26,Missouri,Alabama,19,38
2020-09-26,South Carolina,Tennessee,27,31
2020-09-26,Texas A&M,Vanderbilt,17,12
2020-09-26,Baylor,Kansas,47,14
2020-09-26,Miami,Florida State,52,10
2020-09-27,Virginia Tech,NC State,45,24
2020-09-27,BYU,Troy,48,7
2020-10-02,Wake Forest,Campbell,66,14
2020-10-03,BYU,Louisiana Tech,45,14
2020-10-03,Coastal Carolina,Arkansas State,52,23
2020-10-03,Texas,TCU,31,33
2020-10-03,Tennessee,Missouri,35,12
2020-10-03,Florida,South Carolina,38,24
2020-10-03,West Virginia,Baylor,27,21
2020-10-03,Pittsburgh,NC State,29,30
2020-10-03,Georgia State,East Carolina,49,29
2020-10-03,UAB,UTSA,21,13
2020-10-03,Liberty,North Alabama,28,7
2020-10-03,Army,Abilene Christian,55,23
2020-10-03,SMU,Memphis,30,27
2020-10-03,Kansas State,Texas Tech,31,21
2020-10-03,Boston College,North Carolina,22,26
2020-10-03,Alabama,Texas A&M,52,24
2020-10-03,Kansas,Oklahoma State,7,47
2020-10-03,Cincinnati,South Florida,28,7
2020-10-03,Florida State,Jacksonville State,41,24
2020-10-03,Florida Atlantic,Charlotte,21,17
2020-10-03,Kentucky,Ole Miss,41,42
2020-10-03,Duke,Virginia Tech,31,38
2020-10-03,Middle Tennessee,Western Kentucky,17,20
2020-10-03,Air Force,Navy,40,7
2020-10-03,UL Monroe,Georgia Southern,30,35
2020-10-03,UCF,Tulsa,26,34
2020-10-03,Vanderbilt,LSU,7,41
2020-10-03,North Texas,Southern Miss,31,41
2020-10-03,Mississippi State,Arkansas,14,21
2020-10-03,Georgia,Auburn,27,6
2020-10-03,Iowa State,Oklahoma,37,30
2020-10-04,Clemson,Virginia,41,23
2020-10-08,Houston,Tulane,49,31
2020-10-09,Georgia Tech,Louisville,46,27
2020-10-10,LSU,Missouri,41,45
2020-10-10,Vanderbilt,South Carolina,7,41
2020-10-10,Liberty,UL Monroe,40,7
