date,home_team,away_team,home_score,away_score
2023-08-26,Notre Dame,Navy,42,3
2023-08-26,Jacksonville State,UTEP,17,14
2023-08-26,San Diego State,Ohio,20,13
2023-08-26,New Mexico State,Massachusetts,30,41
2023-08-26,Vanderbilt,Hawai'i,35,28
2023-08-27,USC,San José State,56,28
2023-08-27,Louisiana Tech,Florida International,22,17
2023-08-31,Georgia State,Rhode Island,42,35
2023-08-31,Western Michigan,St. Francis (PA),35,17
2023-08-31,Wake Forest,Elon,37,17
2023-08-31,UCF,Kent State,56,6
2023-08-31,UConn,NC State,14,24
2023-09-01,UAB,North Carolina A&T,35,6
2023-09-01,Missouri,South Dakota,35,10
2023-09-01,Utah,Florida,24,11
2023-09-01,Tulsa,Arkansas-Pine Bluff,42,7
2023-09-01,Minnesota,Nebraska,13,10
2023-09-01,Arizona State,Southern Utah,24,21
2023-09-01,Eastern Michigan,Howard,33,23
2023-09-01,Miami,Miami (OH),38,3
2023-09-01,Michigan State,Central Michigan,31,7
2023-09-01,Georgia Tech,Louisville,34,39
2023-09-02,Kansas,Missouri State,48,17
2023-09-02,Hawai'i,Stanford,24,37
2023-09-02,Michigan,East Carolina,30,3
2023-09-02,SMU,Louisiana Tech,38,14
2023-09-02,Purdue,Fresno State,35,39
2023-09-02,Oklahoma,Arkansas State,73,0
2023-09-02,Tennessee,Virginia,49,13
2023-09-02,TCU,Colorado,42,45
2023-09-02,Boston College,Northern Illinois,24,27
2023-09-02,Iowa,Utah State,24,14
2023-09-02,Liberty,Bowling Green,34,24
2023-09-02,Kentucky,Ball State,44,14
2023-09-02,Air Force,Robert Morris,42,7
2023-09-02,Ohio,Long Island University,27,10
2023-09-02,Iowa State,Northern Iowa,30,9
2023-09-02,Ole Miss,Mercer,73,7
2023-09-02,Jacksonville State,East Tennessee State,49,3
2023-09-02,Temple,Akron,24,21
2023-09-02,Oregon,Portland State,81,7
2023-09-02,Wisconsin,Buffalo,38,17
2023-09-02,Cincinnati,Eastern Kentucky,66,13
2023-09-02,Western Kentucky,South Florida,41,24
2023-09-02,Indiana,Ohio State,3,23
2023-09-02,Washington,Boise State,56,19
2023-09-02,Maryland,Towson,38,6
2023-09-02,Texas,Rice,37,10
2023-09-02,Notre Dame,Tennessee State,56,3
2023-09-02,App State,Gardner-Webb,45,24
2023-09-02,Auburn,Massachusetts,59,14
2023-09-02,Pittsburgh,Wofford,45,7
2023-09-02,North Texas,California,21,58
2023-09-02,Syracuse,Colgate,65,0
2023-09-02,Arkansas,Western Carolina,56,13
2023-09-02,UNLV,Bryant,44,14
2023-09-02,Mississippi State,SE Louisiana,48,7
2023-09-02,Florida Atlantic,Monmouth,42,20
2023-09-02,Georgia,UT Martin,48,7
2023-09-02,Marshall,UAlbany,21,17
