date,home_team,away_team,home_score,away_score
2022-08-27,Western Kentucky,Austin Peay,38,27
2022-08-27,Northwestern,Nebraska,31,28
2022-08-27,UNLV,Idaho State,52,21
2022-08-27,Utah State,UConn,31,20
2022-08-27,Illinois,Wyoming,38,6
2022-08-27,Florida State,Duquesne,47,7
2022-08-27,Florida Atlantic,Charlotte,43,13
2022-08-28,North Carolina,Florida A&M,56,24
2022-08-28,UTEP,North Texas,13,31
2022-08-28,New Mexico State,Nevada,12,23
2022-08-28,Hawai'i,Vanderbilt,10,63
2022-09-01,Akron,St. Francis (PA),30,23
2022-09-01,Oklahoma State,Central Michigan,58,44
2022-09-01,UCF,South Carolina State,56,10
2022-09-01,Toledo,Long Island University,37,0
2022-09-01,Florida International,Bryant,38,37
2022-09-01,Tennessee,Ball State,59,10
2022-09-01,Pittsburgh,West Virginia,38,31
2022-09-01,Wake Forest,VMI,44,10
2022-09-02,Northern Illinois,Eastern Illinois,34,27
2022-09-02,Purdue,Penn State,31,35
2022-09-02,UAB,Alabama A&M,59,0
2022-09-02,Missouri,Louisiana Tech,52,24
2022-09-02,Minnesota,New Mexico State,38,0
2022-09-02,Arizona State,Northern Arizona,40,3
2022-09-02,Fresno State,Cal Poly,35,7
2022-09-02,San José State,Portland State,21,17
2022-09-02,Eastern Michigan,Eastern Kentucky,42,34
2022-09-02,Old Dominion,Virginia Tech,20,17
2022-09-02,Charlotte,William & Mary,24,41
2022-09-02,Michigan State,Western Michigan,35,13
2022-09-02,Duke,Temple,30,0
2022-09-03,Kansas,Tennessee Tech,56,10
2022-09-03,Indiana,Illinois,23,20
2022-09-03,Colorado,TCU,13,38
2022-09-03,East Carolina,NC State,20,21
2022-09-03,Navy,Delaware,7,14
2022-09-03,UConn,Central Connecticut,28,3
2022-09-03,Michigan,Colorado State,51,7
2022-09-03,App State,North Carolina,61,63
2022-09-03,Texas A&M,Sam Houston,31,0
2022-09-03,Iowa,South Dakota State,7,3
2022-09-03,Maryland,Buffalo,31,10
2022-09-03,Boston College,Rutgers,21,22
2022-09-03,Virginia,Richmond,34,17
2022-09-03,Air Force,Northern Iowa,48,17
2022-09-03,Iowa State,Southeast Missouri State,42,10
2022-09-03,UCLA,Bowling Green,45,17
2022-09-03,UTSA,Houston,35,37
2022-09-03,Oklahoma,UTEP,45,13
2022-09-03,Georgia,Oregon,49,3
2022-09-03,San Diego State,Arizona,20,38
2022-09-03,Wyoming,Tulsa,40,37
2022-09-03,Nebraska,North Dakota,38,17
2022-09-03,Miami,Bethune-Cookman,70,13
2022-09-03,Marshall,Norfolk State,55,3
2022-09-03,Arkansas,Cincinnati,31,24
2022-09-03,Ole Miss,Troy,28,10
2022-09-03,South Florida,BYU,21,50
