date,home_team,away_team,home_score,away_score
2017-08-26,Colorado State,Oregon State,58,27
2017-08-26,BYU,Portland State,20,6
2017-08-26,Massachusetts,Hawai'i,35,38
2017-08-26,San José State,South Florida,22,42
2017-08-27,Rice,Stanford,7,62
2017-08-31,UCF,Florida International,61,17
2017-08-31,Wake Forest,Presbyterian,51,7
2017-08-31,Georgia State,Tennessee State,10,17
2017-08-31,Toledo,Elon,47,13
2017-08-31,Central Michigan,Rhode Island,30,27
2017-08-31,Cincinnati,Austin Peay,26,14
2017-08-31,Minnesota,Buffalo,17,7
2017-08-31,Oklahoma State,Tulsa,59,24
2017-08-31,UConn,Holy Cross,27,20
2017-08-31,Utah,North Dakota,37,16
2017-09-01,Arkansas,Florida A&M,49,7
2017-09-01,Indiana,Ohio State,21,49
2017-09-01,Idaho,Sacramento State,28,6
2017-09-01,Memphis,UL Monroe,37,29
2017-09-01,Arizona State,New Mexico State,37,31
2017-09-01,Army,Fordham,64,6
2017-09-01,Eastern Michigan,Charlotte,24,7
2017-09-01,Syracuse,Central Connecticut,50,7
2017-09-02,Florida Atlantic,Navy,19,42
2017-09-02,Colorado,Colorado State,17,3
2017-09-02,Rutgers,Washington,14,30
2017-09-02,Wisconsin,Utah State,59,10
2017-09-02,Northern Illinois,Boston College,20,23
2017-09-02,Iowa,Wyoming,24,3
2017-09-02,Missouri,Missouri State,72,43
2017-09-02,Clemson,Kent State,56,3
2017-09-02,Penn State,Akron,52,0
2017-09-02,Texas,Maryland,41,51
2017-09-02,Michigan State,Bowling Green,35,10
2017-09-02,Illinois,Ball State,24,21
2017-09-02,North Carolina,California,30,35
2017-09-02,Miami,Bethune-Cookman,41,13
2017-09-02,Pittsburgh,Youngstown State,28,21
2017-09-02,Oregon State,Portland State,35,32
2017-09-02,Air Force,VMI,62,0
2017-09-02,South Carolina,NC State,35,28
2017-09-02,Florida,Michigan,17,33
2017-09-02,Northwestern,Nevada,31,20
2017-09-02,Virginia,William & Mary,28,10
2017-09-02,Oklahoma,UTEP,56,7
2017-09-02,UAB,Alabama A&M,38,7
2017-09-02,Notre Dame,Temple,49,16
2017-09-02,Boise State,Troy,24,13
2017-09-02,South Florida,Stony Brook,31,17
2017-09-02,Texas Tech,Eastern Washington,56,10
2017-09-02,Mississippi State,Charleston Southern,49,0
2017-09-02,Southern Miss,Kentucky,17,24
2017-09-02,USC,Western Michigan,49,31
2017-09-02,Old Dominion,UAlbany,31,17
2017-09-02,East Carolina,James Madison,14,34
2017-09-02,Duke,North Carolina Central,60,7
2017-09-02,Georgia,App State,31,10
2017-09-02,Marshall,Miami (OH),31,26
2017-09-02,Coastal Carolina,Massachusetts,38,28
2017-09-02,Louisiana,SE Louisiana,51,48
2017-09-02,Kansas,Southeast Missouri State,38,16
2017-09-02,Baylor,Liberty,45,48
2017-09-02,Western Kentucky,Eastern Kentucky,31,17
