date,home_team,away_team,home_score,away_score
2014-08-27,Georgia State,Abilene Christian,38,37
2014-08-28,South Carolina,Texas A&M,28,52
2014-08-28,UL Monroe,Wake Forest,17,10
2014-08-28,Minnesota,Eastern Illinois,42,20
2014-08-28,Akron,Howard,41,0
2014-08-28,Northern Illinois,Presbyterian,55,3
2014-08-28,Central Michigan,Chattanooga,20,16
2014-08-28,Utah,Idaho State,56,14
2014-08-29,New Mexico State,Cal Poly,28,10
2014-08-29,Tulsa,Tulane,38,31
2014-08-29,Ole Miss,Boise State,35,13
2014-08-29,San José State,North Dakota,42,10
2014-08-29,Washington State,Rutgers,38,41
2014-08-29,Arizona State,Weber State,45,14
2014-08-29,Vanderbilt,Temple,7,37
2014-08-29,UConn,BYU,10,35
2014-08-29,Michigan State,Jacksonville State,45,7
2014-08-29,Syracuse,Villanova,27,26
2014-08-29,Western Kentucky,Bowling Green,59,31
2014-08-30,Colorado,Colorado State,17,31
2014-08-30,Houston,UTSA,7,27
2014-08-30,Arizona,UNLV,58,13
2014-08-30,UCF,Penn State,24,26
2014-08-30,Pittsburgh,Delaware,62,0
2014-08-30,Iowa State,North Dakota State,14,34
2014-08-30,Illinois,Youngstown State,28,17
2014-08-30,Indiana,Indiana State,28,10
2014-08-30,Iowa,Northern Iowa,31,23
2014-08-30,Kentucky,UT Martin,59,14
2014-08-30,Purdue,Western Michigan,43,34
2014-08-30,Michigan,App State,52,14
2014-08-30,UAB,Troy,48,10
2014-08-30,Virginia,UCLA,20,28
2014-08-30,Navy,Ohio State,17,34
2014-08-30,Georgia Tech,Wofford,38,19
2014-08-30,NC State,Georgia Southern,24,23
2014-08-30,Ball State,Colgate,30,10
2014-08-30,Air Force,Nicholls,44,16
2014-08-30,Nevada,Southern Utah,28,19
2014-08-30,Massachusetts,Boston College,7,30
2014-08-30,Maryland,James Madison,52,7
2014-08-30,Nebraska,Florida Atlantic,55,7
2014-08-30,Missouri,South Dakota State,38,18
2014-08-30,Miami (OH),Marshall,27,42
2014-08-30,Buffalo,Duquesne,38,28
2014-08-30,Old Dominion,Hampton,41,28
2014-08-30,Notre Dame,Rice,48,17
2014-08-30,Alabama,West Virginia,33,23
2014-08-30,Northwestern,California,24,31
2014-08-30,Auburn,Arkansas,45,21
2014-08-30,Wyoming,Montana,17,12
2014-08-30,Stanford,UC Davis,45,0
2014-08-30,Oregon State,Portland State,29,14
2014-08-30,Virginia Tech,William & Mary,34,9
2014-08-30,Georgia,Clemson,45,21
2014-08-30,Kent State,Ohio,14,17
2014-08-30,Duke,Elon,52,13
2014-08-30,Eastern Michigan,Morgan State,31,28
2014-08-30,North Carolina,Liberty,56,29
2014-08-30,Louisiana,Southern,45,6
2014-08-30,Arkansas State,Montana State,37,10
2014-08-30,TCU,Samford,48,14
2014-08-30,Texas Tech,Central Arkansas,42,35
2014-08-30,Texas State,Arkansas-Pine Bluff,65,0
2014-08-30,Memphis,Austin Peay,63,0
2014-08-30,San Diego State,Northern Arizona,38,7
2014-08-30,Florida International,Bethune-Cookman,12,14
2014-08-30,Middle Tennessee,Savannah St,61,7
2014-08-30,Toledo,New Hampshire,54,20
2014-08-30,Oklahoma,Louisiana Tech,48,16
2014-08-30,South Florida,Western Carolina,36,31
2014-08-30,Kansas State,Stephen F. Austin,55,16
2014-08-30,USC,Fresno State,52,13
2014-08-30,Mississippi State,Southern Miss,49,0
2014-08-31,Texas,North Texas,38,7
2014-08-31,Oklahoma State,Florida State,31,37
2014-08-31,East Carolina,North Carolina Central,52,7
2014-08-31,New Mexico,UTEP,24,31
2014-08-31,LSU,Wisconsin,28,24
2014-08-31,Oregon,South Dakota,62,13
2014-08-31,Hawai'i,Washington,16,17
2014-08-31,Tennessee,Utah State,38,7
2014-08-31,Baylor,SMU,45,0
2014-09-02,Louisville,Miami,31,13
2014-09-05,UTSA,Arizona,23,26
2014-09-05,Boston College,Pittsburgh,20,30
2014-09-06,Nevada,Washington State,24,13
2014-09-06,Wisconsin,Western Illinois,37,3
2014-09-06,Alabama,Florida Atlantic,41,0
2014-09-06,Rutgers,Howard,38,25
2014-09-06,Nebraska,McNeese,31,24
2014-09-06,UConn,Stony Brook,19,16
2014-09-06,Tulsa,Oklahoma,7,52
2014-09-06,Tennessee,Arkansas State,34,19
2014-09-06,Toledo,Missouri,24,49
2014-09-06,Iowa State,Kansas State,28,32
2014-09-06,Illinois,Western Kentucky,42,34
2014-09-06,Army,Buffalo,47,39
2014-09-06,North Texas,SMU,43,6
