year,team,conference
2024,Notre Dame,Independent
2024,Sam Houston St,C-USA
2024,"Miami, Oh",MAC
2024,Connecticut,Independent
2024,Louisiana Tech,C-USA
2024,Buffalo,MAC
2024,UMass,Independent
2024,Liberty,C-USA
2024,Bowling Green,MAC
2024,WKU,C-USA
2024,Northern Illinois,MAC
2024,FIU,C-USA
2024,Toledo,MAC
2024,UTEP,C-USA
2024,Akron,MAC
2024,New Mexico St,C-USA
2024,Western Michigan,MAC
2024,Kennesaw St,C-USA
2024,Ball St,MAC
2024,Middle Tenn,C-USA
2024,Central Michigan,MAC
2024,Eastern Michigan,MAC
2024,Kent St,MAC
2024,UNLV,Tuesday By   3:00Pm
2024,Texas St,Sun Belt
2024,San Jose St,Tuesday By   3:00Pm
2024,James Madison,Sun Belt
2024,Fresno St,Tuesday By   3:00Pm
2024,Louisiana,Sun Belt
2024,Air Force,Tuesday By   3:00Pm
2024,South Alabama,Sun Belt
2024,New Mexico,Tuesday By   3:00Pm
2024,Old Dominion,Sun Belt
2024,Wyoming,Tuesday By   3:00Pm
2024,GA Southern,Sun Belt
2024,Utah St,Tuesday By   3:00Pm
2024,Appalachian St,Sun Belt
2024,Colorado St,Tuesday By   3:00Pm
2024,Arkansas St,Sun Belt
2024,Hawaii,Tuesday By   3:00Pm
2024,Troy,Sun Belt
2024,Nevada,Tuesday By   3:00Pm
2024,Coastal Carolina,Sun Belt
2024,San Diego St,Tuesday By   3:00Pm
2024,ULM,Sun Belt
2024,Georgia St,Sun Belt
2024,Southern Miss,Sun Belt
2025,Georgia,SEC
2025,Indiana,Big Ten
2025,"Miami, Fl",ACC
2025,Vanderbilt,SEC
2025,Ohio St,Big Ten
2025,Clemson,ACC
2025,Texas,SEC
2025,Oregon,Big Ten
2025,SMU,ACC
2025,Oklahoma,SEC
2025,Penn St,Big Ten
2025,Duke,ACC
2025,Texas A&M,SEC
2025,Washington,Big Ten
2025,Pittsburgh,ACC
2025,Mississippi,SEC
2025,USC,Big Ten
2025,Louisville,ACC
2025,Alabama,SEC
2025,Iowa,Big Ten
2025,Georgia Tech,ACC
2025,Missouri,SEC
2025,Michigan,Big Ten
2025,NC State,ACC
2025,Auburn,SEC
2025,Illinois,Big Ten
2025,Virginia,ACC
2025,Tennessee,SEC
2025,Wisconsin,Big Ten
2025,Florida St,ACC
2025,South Carolina,SEC
2025,Minnesota,Big Ten
2025,Wake Forest,ACC
2025,LSU,SEC
2025,Nebraska,Big Ten
2025,California,ACC
2025,Florida,SEC
2025,Northwestern,Big Ten
2025,Stanford,ACC
2025,Arkansas,SEC
2025,Rutgers,Big Ten
2025,Boston College,ACC
2025,Mississippi St,SEC
2025,Michigan St,Big Ten
2025,Virginia Tech,ACC
2025,Kentucky,SEC
2025,UCLA,Big Ten
2025,North Carolina,ACC
2025,Maryland,Big Ten
2025,Syracuse,ACC
2025,Purdue,Big Ten
2025,Texas Tech,Big 12
2025,Washington St,Pac-12
2025,USF,AAC
2025,Utah,Big 12
2025,Oregon St,Pac-12
2025,Tulane,AAC
2025,BYU,Big 12
2025,East Carolina,AAC
2025,Arizona,Big 12
2025,Navy,AAC
2025,TCU,Big 12
2025,North Texas,AAC
2025,Iowa St,Big 12
2025,Memphis,AAC
2025,Kansas St,Big 12
2025,UTSA,AAC
2025,Arizona St,Big 12
2025,Army,AAC
2025,Houston,Big 12
2025,Temple,AAC
2025,Cincinnati,Big 12
2025,FAU,AAC
2025,Kansas,Big 12
2025,Tulsa,AAC
2025,Baylor,Big 12
2025,UAB,AAC
2025,West Virginia,Big 12
2025,Rice,AAC
2025,UCF,Big 12
2025,Charlotte,AAC
2025,Colorado,Big 12
2025,Oklahoma St,Big 12
2025,FIU,C-USA
2025,Toledo,MAC
2025,Notre Dame,Independent
2025,WKU,C-USA
2025,Western Michigan,MAC
2025,Connecticut,Independent
2025,Kennesaw St,C-USA
2025,Ohio,MAC
2025,Louisiana Tech,C-USA
2025,"Miami, Oh",MAC
2025,Jacksonville St,C-USA
2025,Central Michigan,MAC
2025,Liberty,C-USA
2025,Akron,MAC
2025,Missouri St,C-USA
2025,Eastern Michigan,MAC
2025,New Mexico St,C-USA
2025,Buffalo,MAC
2025,Delaware,C-USA
2025,Northern Illinois,MAC
2025,Middle Tenn,C-USA
2025,Kent St,MAC
2025,UTEP,C-USA
2025,Bowling Green,MAC
2025,Sam Houston,C-USA
2025,Ball St,MAC
2025,UMass,MAC
2025,New Mexico,Tuesday By   3:00Pm
2025,Old Dominion,Sun Belt
2025,San Diego St,Tuesday By   3:00Pm
2025,Texas St,Sun Belt
2025,Hawaii,Tuesday By   3:00Pm
2025,Troy,Sun Belt
2025,UNLV,Tuesday By   3:00Pm
2025,Arkansas St,Sun Belt
2025,Fresno St,Tuesday By   3:00Pm
2025,Louisiana,Sun Belt
2025,Utah St,Tuesday By   3:00Pm
2025,Georgia Southern,Sun Belt
2025,Air Force,Tuesday By   3:00Pm
2025,South Alabama,Sun Belt
2025,Wyoming,Tuesday By   3:00Pm
2025,Southern Miss,Sun Belt
2025,Nevada,Tuesday By   3:00Pm
2025,Appalachian St,Sun Belt
2025,San Jose St,Tuesday By   3:00Pm
2025,Marshall,Sun Belt
2025,Colorado St,Tuesday By   3:00Pm
2025,Coastal Carolina,Sun Belt
2025,Georgia St,Sun Belt
2025,ULM,Sun Belt
